# Constructed from biom file
#OTU ID	1ayWM2CHIPOOB100705.extra.kraken2.report	oAVVM2CHIPOOB051360.extra.kraken2.report	3xfYM2CHIPOOA051365.extra.kraken2.report	jYxWM2CHIPOOB051110.extra.kraken2.report	hoQoM2CHIPOOA051115.extra.kraken2.report	j1iWM2CHIPOOBXX1561.extra.kraken2.report	eBCjM2CHIPOOBXX1180.extra.kraken2.report
1223566	3889.0	741.0	459.0	311.0	1132.0	378.0	1186.0
1325100	3309.0	1139.0	761.0	654.0	2354.0	573.0	1929.0
288000	2403.0	1015.0	695.0	513.0	2040.0	561.0	1466.0
115808	2240.0	913.0	595.0	497.0	1859.0	507.0	1393.0
1197460	2227.0	834.0	510.0	374.0	1511.0	334.0	1301.0
114615	2091.0	1035.0	662.0	512.0	1968.0	508.0	1431.0
1325102	2090.0	831.0	633.0	320.0	1215.0	394.0	2190.0
2057741	2072.0	742.0	461.0	408.0	1558.0	438.0	1311.0
1325120	1929.0	726.0	441.0	352.0	1394.0	359.0	1211.0
2715960	1850.0	658.0	418.0	383.0	1348.0	426.0	1087.0
1404888	1681.0	598.0	428.0	311.0	1041.0	358.0	1117.0
1325114	1464.0	585.0	367.0	266.0	957.0	0.0	1620.0
1325112	1322.0	588.0	361.0	234.0	1016.0	328.0	1061.0
1325111	1305.0	578.0	371.0	328.0	1134.0	434.0	1381.0
376	973.0	494.0	323.0	179.0	738.0	249.0	710.0
319017	470.0	176.0	119.0	74.0	324.0	103.0	303.0
2493093	193.0	132.0	64.0	48.0	213.0	51.0	154.0
2599805	117.0	44.0	28.0	22.0	85.0	35.0	94.0
2599819	99.0	44.0	25.0	22.0	83.0	23.0	92.0
1404649	25.0	10.0	8.0	8.0	32.0	9.0	17.0
1325083	5.0	10.0	7.0	7.0	17.0	1.0	4.0
190148	10547.0	1686.0	1079.0	1251.0	3129.0	539.0	4111.0
1274631	10302.0	1753.0	1090.0	1241.0	3505.0	518.0	4519.0
1437360	9967.0	3233.0	1928.0	1730.0	6275.0	1717.0	5097.0
1355477	6332.0	2707.0	1697.0	1251.0	4985.0	1527.0	0.0
722472	3472.0	1071.0	694.0	542.0	2208.0	537.0	1742.0
255045	2750.0	774.0	475.0	413.0	1502.0	481.0	1429.0
83637	2637.0	906.0	568.0	488.0	1786.0	453.0	1579.0
1245469	2310.0	1008.0	609.0	547.0	2017.0	542.0	1527.0
476282	338.0	150.0	107.0	61.0	308.0	74.0	211.0
1037409	7.0	1.0	0.0	0.0	1.0	0.0	3.0
1404367	1861.0	667.0	456.0	321.0	1237.0	383.0	1381.0
1325090	1839.0	778.0	477.0	405.0	1417.0	508.0	1229.0
1404864	1735.0	621.0	394.0	292.0	1135.0	342.0	998.0
1549949	1635.0	748.0	431.0	350.0	1166.0	401.0	1537.0
1325107	1476.0	826.0	515.0	336.0	1225.0	394.0	1330.0
858423	1408.0	640.0	390.0	277.0	1133.0	374.0	1155.0
1325115	1362.0	574.0	421.0	268.0	1014.0	774.0	1563.0
83627	1343.0	590.0	400.0	294.0	1138.0	337.0	1051.0
1325095	1302.0	522.0	326.0	293.0	1007.0	311.0	944.0
1404768	999.0	368.0	245.0	196.0	756.0	242.0	796.0
244734	982.0	441.0	266.0	197.0	720.0	260.0	659.0
931866	434.0	77.0	74.0	65.0	240.0	57.0	248.0
1275962	24.0	18.0	8.0	5.0	18.0	8.0	8.0
2020412	6082.0	1050.0	598.0	349.0	1732.0	360.0	1064.0
2599640	3777.0	1167.0	673.0	462.0	2172.0	409.0	1191.0
1867715	3391.0	1290.0	765.0	527.0	2462.0	447.0	1542.0
2015316	3135.0	1032.0	650.0	388.0	1993.0	420.0	991.0
