# Constructed from biom file
#OTU ID	pse1M2MAIPOOA100685.extra.kraken2.report	AJwcM2MAIPOOA100700.extra.kraken2.report	Ia7iM2MAIPOOB100245.extra.kraken2.report	P0ZQM2MAIPOOA100240.extra.kraken2.report	qU3SM2MAIPOOM070605.extra.kraken2.report	B7zTM2MAIPOOA070610.extra.kraken2.report	c5isM2MAIPOOA070615.extra.kraken2.report	TgLUM2MAIPOOM070620.extra.kraken2.report
38300	2186.0	10157.0	617.0	496.0	1230.0	92.0	631.0	890.0
1827580	1693.0	4232.0	10374.0	5141.0	15274.0	1017.0	8426.0	24929.0
54571	896.0	7416.0	4240.0	4040.0	4874.0	280.0	4902.0	4113.0
68249	870.0	3023.0	994.0	591.0	1011.0	58.0	686.0	713.0
1969	766.0	4390.0	2122.0	1817.0	4494.0	135.0	2412.0	2265.0
285570	709.0	2333.0	2043.0	1769.0	9703.0	283.0	4045.0	3534.0
1783515	619.0	2199.0	724.0	779.0	964.0	50.0	693.0	651.0
1932	482.0	1872.0	7854.0	2527.0	4040.0	162.0	1488.0	2885.0
33899	465.0	3298.0	985.0	1586.0	1059.0	52.0	895.0	733.0
1889	459.0	2165.0	1116.0	703.0	1192.0	38.0	758.0	781.0
67581	441.0	1817.0	1599.0	1310.0	3539.0	80.0	1377.0	1168.0
1888	378.0	3051.0	1695.0	1302.0	2728.0	103.0	1731.0	1560.0
67304	365.0	2648.0	2306.0	1137.0	3101.0	87.0	2418.0	1254.0
2710756	342.0	4709.0	1800.0	951.0	1692.0	62.0	1012.0	1036.0
629295	334.0	3846.0	1553.0	1448.0	1735.0	100.0	1651.0	1590.0
2014920	324.0	3580.0	1492.0	1460.0	2500.0	156.0	1460.0	2059.0
73044	323.0	2262.0	1636.0	1145.0	1762.0	97.0	1567.0	1470.0
67345	299.0	1949.0	2347.0	3774.0	2301.0	100.0	1318.0	1399.0
83291	288.0	2390.0	1252.0	1032.0	1535.0	62.0	1207.0	1080.0
1950	288.0	1413.0	671.0	536.0	854.0	42.0	742.0	629.0
