# Constructed from biom file
OTU_ID	0n7bM2TOMPOOA100365.extra.kraken2.report	9JUZM2TOMPOOB100355.extra.kraken2.report	AYtCM2TOMPOOA100360.extra.kraken2.report	DYZgM2TOMPOOB100370.extra.kraken2.report	cSObM2TOMPOOM080315.extra.kraken2.report	wQqUM2TOMPOOA080335.extra.kraken2.report	1qGgM2TOMPOOM080340.extra.kraken2.report	aFJgM2TOMPOOM090325.extra.kraken2.report	vcXtM2TOMPOOB050180.extra.kraken2.report	iYASM2TOMPOOA050195.extra.kraken2.report	XR8LM2TOMPOOB051125.extra.kraken2.report	TECcM2TOMPOOA051310.extra.kraken2.report	FvY2M2TOMPOOB051329.extra.kraken2.report	abKIM2TOMPOOA051320.extra.kraken2.report	cuu6M2TOMPOOB051315.extra.kraken2.report	s9OmM2TOMPOOB051285.extra.kraken2.report	Nm8MM2TOMPOOA051300.extra.kraken2.report	IGpcM2TOMPOOB051290.extra.kraken2.report	a50wM2TOMPOOB051350.extra.kraken2.report	OeS0M2TOMPOOA051355.extra.kraken2.report	dSz8M2TOMPOOA051340.extra.kraken2.report	nG3jM2TOMPOOA051345.extra.kraken2.report
1325100	3889.0	377.0	3021.0	3155.0	1464.0	1141.0	4532.0	374.0	3110.0	2118.0	1254.0	1317.0	1960.0	2187.0	1626.0	1711.0	1439.0	2270.0	1270.0	2635.0	2107.0	0.0
288000	3070.0	238.0	2371.0	2153.0	1357.0	1021.0	4946.0	401.0	2721.0	1715.0	1141.0	1210.0	1647.0	1454.0	1299.0	1508.0	1264.0	1744.0	1188.0	2404.0	1974.0	928.0
1223566	2970.0	0.0	2921.0	3851.0	1383.0	2627.0	2942.0	204.0	2874.0	1113.0	812.0	654.0	998.0	1432.0	1138.0	1292.0	1071.0	1082.0	917.0	1743.0	1349.0	595.0
114615	2912.0	188.0	2276.0	2109.0	1341.0	941.0	3829.0	356.0	2642.0	1600.0	1073.0	1154.0	1688.0	1462.0	1272.0	1423.0	1183.0	1683.0	1113.0	2155.0	1607.0	825.0
1325102	2872.0	407.0	2056.0	2550.0	0.0	0.0	4697.0	211.0	0.0	1431.0	1150.0	961.0	1128.0	2152.0	1477.0	1305.0	1779.0	1405.0	936.0	2464.0	1962.0	812.0
1197460	2825.0	242.0	2206.0	2125.0	981.0	873.0	3261.0	257.0	2026.0	1438.0	888.0	910.0	1325.0	1329.0	1104.0	1183.0	1018.0	1393.0	810.0	1749.0	1339.0	571.0
115808	2812.0	215.0	2209.0	2012.0	1227.0	936.0	3741.0	363.0	2610.0	1565.0	977.0	1100.0	1605.0	1483.0	1261.0	1474.0	1239.0	1703.0	1122.0	2069.0	1717.0	821.0
2057741	2639.0	221.0	2118.0	2011.0	1116.0	918.0	4740.0	274.0	2066.0	1363.0	885.0	895.0	1281.0	1173.0	1067.0	1137.0	976.0	1383.0	937.0	1685.0	1367.0	662.0
1325120	2463.0	227.0	1867.0	1846.0	964.0	725.0	3069.0	227.0	1876.0	1277.0	793.0	799.0	1171.0	1211.0	945.0	1076.0	904.0	1277.0	791.0	1607.0	1301.0	576.0
2715960	2286.0	170.0	1737.0	1705.0	903.0	709.0	3658.0	219.0	1767.0	1171.0	751.0	740.0	1037.0	1117.0	864.0	1015.0	785.0	1250.0	695.0	1494.0	1205.0	520.0
1404888	1940.0	302.0	1639.0	1601.0	1218.0	2016.0	2583.0	214.0	2667.0	1131.0	685.0	618.0	924.0	1248.0	829.0	1047.0	838.0	1095.0	722.0	1409.0	1278.0	599.0
1325114	1809.0	289.0	1306.0	1334.0	1005.0	1632.0	2392.0	160.0	8324.0	1875.0	579.0	688.0	757.0	2306.0	758.0	744.0	634.0	1283.0	618.0	1224.0	2084.0	706.0
1325112	1759.0	141.0	1349.0	1367.0	872.0	986.0	2253.0	222.0	2126.0	1075.0	628.0	668.0	880.0	1180.0	768.0	846.0	676.0	1114.0	572.0	1182.0	1164.0	449.0
1325111	1711.0	163.0	1467.0	1326.0	944.0	1012.0	2424.0	186.0	2043.0	1016.0	707.0	702.0	958.0	1089.0	797.0	926.0	806.0	1046.0	1031.0	1320.0	1231.0	827.0
376	1229.0	124.0	1005.0	908.0	648.0	720.0	1805.0	138.0	1519.0	708.0	445.0	408.0	669.0	819.0	551.0	601.0	506.0	784.0	488.0	888.0	846.0	353.0
319017	561.0	56.0	430.0	403.0	294.0	340.0	852.0	62.0	640.0	330.0	195.0	179.0	271.0	354.0	226.0	246.0	220.0	352.0	207.0	381.0	336.0	170.0
2493093	287.0	24.0	242.0	199.0	137.0	163.0	580.0	26.0	278.0	153.0	138.0	124.0	171.0	165.0	158.0	157.0	107.0	158.0	119.0	205.0	193.0	82.0
2599805	141.0	16.0	122.0	129.0	77.0	113.0	226.0	18.0	282.0	95.0	60.0	47.0	80.0	115.0	64.0	85.0	66.0	70.0	59.0	107.0	112.0	47.0
2599819	139.0	11.0	110.0	82.0	68.0	120.0	230.0	15.0	258.0	83.0	54.0	48.0	82.0	112.0	61.0	72.0	44.0	83.0	49.0	72.0	108.0	16.0
1404649	48.0	2.0	46.0	42.0	21.0	20.0	275.0	9.0	40.0	22.0	18.0	16.0	27.0	21.0	22.0	42.0	16.0	26.0	24.0	37.0	28.0	9.0
1325083	13.0	1.0	10.0	11.0	9.0	8.0	32.0	0.0	26.0	6.0	4.0	6.0	9.0	6.0	1.0	5.0	9.0	8.0	6.0	12.0	9.0	6.0
2578113	2.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
1274631	12525.0	994.0	9274.0	10306.0	5384.0	2959.0	5880.0	406.0	3773.0	3229.0	1994.0	1949.0	3263.0	4797.0	3041.0	3550.0	2790.0	3180.0	2049.0	4896.0	3072.0	1008.0
1437360	11526.0	906.0	8565.0	8295.0	4438.0	3278.0	15297.0	1054.0	8167.0	5782.0	3572.0	3728.0	5397.0	5058.0	4420.0	4758.0	4262.0	5669.0	3777.0	6937.0	7029.0	2648.0
