"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1325100",1626,2187,1439,3110,4532,2635,1711,2107,1464,1317,374
"288000",1299,1454,1264,2721,4946,2404,1508,1974,1357,1210,401
"1223566",1138,1432,1071,2874,2942,1743,1292,1349,1383,654,204
"114615",1272,1462,1183,2642,3829,2155,1423,1607,1341,1154,356
"1325102",1477,2152,1779,0,4697,2464,1305,1962,0,961,211
"1197460",1104,1329,1018,2026,3261,1749,1183,1339,981,910,257
"115808",1261,1483,1239,2610,3741,2069,1474,1717,1227,1100,363
"2057741",1067,1173,976,2066,4740,1685,1137,1367,1116,895,274
"1325120",945,1211,904,1876,3069,1607,1076,1301,964,799,227
"2715960",864,1117,785,1767,3658,1494,1015,1205,903,740,219
"1404888",829,1248,838,2667,2583,1409,1047,1278,1218,618,214
"1325114",758,2306,634,8324,2392,1224,744,2084,1005,688,160
"1325112",768,1180,676,2126,2253,1182,846,1164,872,668,222
"1325111",797,1089,806,2043,2424,1320,926,1231,944,702,186
"376",551,819,506,1519,1805,888,601,846,648,408,138
"319017",226,354,220,640,852,381,246,336,294,179,62
"2493093",158,165,107,278,580,205,157,193,137,124,26
"2599805",64,115,66,282,226,107,85,112,77,47,18
"2599819",61,112,44,258,230,72,72,108,68,48,15
"1404649",22,21,16,40,275,37,42,28,21,16,9
"1325083",1,6,9,26,32,12,5,9,9,6,0
"2578113",0,1,1,1,3,0,0,0,1,0,0
"1274631",3041,4797,2790,3773,5880,4896,3550,3072,5384,1949,406
"1437360",4420,5058,4262,8167,15297,6937,4758,7029,4438,3728,1054
"190148",2678,4651,2271,3639,5429,4072,2941,2782,2287,1624,372
"1355477",3568,5534,3251,10805,0,0,3875,5841,4257,0,887
"722472",1659,1789,1431,2708,4968,2318,1748,2021,1398,1272,373
"83637",1237,1548,1088,2478,3768,2078,1398,1626,1177,1027,307
"1245469",1340,1497,1301,2707,4324,2157,1518,1790,1399,1136,424
"255045",1131,1375,1020,2133,4636,1836,1124,1632,1139,921,318
