"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report"
"1325100",1626,2635,1254,1317,3110,1711,377,3021,1464,1270,1141
"288000",1299,2404,1141,1210,2721,1508,238,2371,1357,1188,1021
"1223566",1138,1743,812,654,2874,1292,0,2921,1383,917,2627
"114615",1272,2155,1073,1154,2642,1423,188,2276,1341,1113,941
"1325102",1477,2464,1150,961,0,1305,407,2056,0,936,0
"1197460",1104,1749,888,910,2026,1183,242,2206,981,810,873
"115808",1261,2069,977,1100,2610,1474,215,2209,1227,1122,936
"2057741",1067,1685,885,895,2066,1137,221,2118,1116,937,918
"1325120",945,1607,793,799,1876,1076,227,1867,964,791,725
"2715960",864,1494,751,740,1767,1015,170,1737,903,695,709
"1404888",829,1409,685,618,2667,1047,302,1639,1218,722,2016
"1325114",758,1224,579,688,8324,744,289,1306,1005,618,1632
"1325112",768,1182,628,668,2126,846,141,1349,872,572,986
"1325111",797,1320,707,702,2043,926,163,1467,944,1031,1012
"376",551,888,445,408,1519,601,124,1005,648,488,720
"319017",226,381,195,179,640,246,56,430,294,207,340
"2493093",158,205,138,124,278,157,24,242,137,119,163
"2599805",64,107,60,47,282,85,16,122,77,59,113
"2599819",61,72,54,48,258,72,11,110,68,49,120
"1404649",22,37,18,16,40,42,2,46,21,24,20
"1325083",1,12,4,6,26,5,1,10,9,6,8
"2578113",0,0,0,0,1,0,0,0,1,0,0
"1274631",3041,4896,1994,1949,3773,3550,994,9274,5384,2049,2959
"1437360",4420,6937,3572,3728,8167,4758,906,8565,4438,3777,3278
"190148",2678,4072,1681,1624,3639,2941,1116,11678,2287,1451,1569
"1355477",3568,0,2894,0,10805,3875,847,6370,4257,2930,0
"722472",1659,2318,1246,1272,2708,1748,333,2992,1398,1289,1004
"83637",1237,2078,966,1027,2478,1398,253,2371,1177,1063,904
"1245469",1340,2157,1144,1136,2707,1518,233,2426,1399,1145,1153
"255045",1131,1836,844,921,2133,1124,263,2261,1139,1065,810
"476282",185,292,131,151,481,218,40,346,196,144,230
"1037409",1,3,2,0,5,1,1,1,2,0,8
"1325107",1029,1451,782,766,2680,1005,261,1740,1190,788,1627
"1549949",925,1424,815,733,2808,1095,248,1606,1616,820,2805
"1404367",780,1356,730,759,3897,971,224,1576,1271,656,1692
"1404864",753,1252,650,698,2430,872,159,1470,979,676,1204
"858423",819,1310,718,647,2519,916,189,1526,978,645,1230
"1325090",1036,1486,943,904,2717,938,263,1618,1468,731,1568
"83627",837,1356,725,692,2018,884,161,1524,897,665,957
"1325115",790,1372,658,584,5393,833,213,1328,1128,628,1731
"1325095",723,1229,601,608,2056,811,148,1327,800,578,915
"1404768",516,840,467,469,2858,541,144,1008,671,436,1002
"244734",502,865,426,408,1476,561,112,942,675,564,847
"931866",153,258,140,136,470,166,63,383,181,134,201
"1275962",7,29,19,15,17,31,1,25,12,23,35
"1867715",1615,2341,2784,1644,2710,1915,756,4051,2709,1315,1487
"2020412",1139,1870,1477,936,1956,1281,422,2789,2242,1000,983
"2599640",1524,2252,1886,1292,2328,1821,406,3169,2693,1292,1159
"1842539",1438,1926,1562,1240,2300,1642,287,2577,1582,1112,1104
"2015316",1160,1858,1555,1093,2210,1371,424,2338,2166,1201,1020
"1792307",1041,1543,1138,955,1520,1246,224,2135,1187,841,840
"1526658",1284,1879,1358,1128,2092,1425,272,2519,1385,1082,972
"316058",1152,1951,1074,1086,2354,1301,208,2049,1290,1211,872
"316055",960,1605,907,933,2027,1113,173,1828,1134,1028,753
"316056",985,1762,884,924,2046,1099,215,1870,1222,1059,882
"652103",221,371,207,204,440,236,31,351,238,181,179
"395960",214,300,184,185,390,289,35,330,208,164,180
