"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1325100",2118,3021,1141,2187,1317,374,3889,1254,0,1960,377
"288000",1715,2371,1021,1454,1210,401,3070,1141,928,1647,238
"1223566",1113,2921,2627,1432,654,204,2970,812,595,998,0
"114615",1600,2276,941,1462,1154,356,2912,1073,825,1688,188
"1325102",1431,2056,0,2152,961,211,2872,1150,812,1128,407
"1197460",1438,2206,873,1329,910,257,2825,888,571,1325,242
"115808",1565,2209,936,1483,1100,363,2812,977,821,1605,215
"2057741",1363,2118,918,1173,895,274,2639,885,662,1281,221
"1325120",1277,1867,725,1211,799,227,2463,793,576,1171,227
"2715960",1171,1737,709,1117,740,219,2286,751,520,1037,170
"1404888",1131,1639,2016,1248,618,214,1940,685,599,924,302
"1325114",1875,1306,1632,2306,688,160,1809,579,706,757,289
"1325112",1075,1349,986,1180,668,222,1759,628,449,880,141
"1325111",1016,1467,1012,1089,702,186,1711,707,827,958,163
"376",708,1005,720,819,408,138,1229,445,353,669,124
"319017",330,430,340,354,179,62,561,195,170,271,56
"2493093",153,242,163,165,124,26,287,138,82,171,24
"2599805",95,122,113,115,47,18,141,60,47,80,16
"2599819",83,110,120,112,48,15,139,54,16,82,11
"1404649",22,46,20,21,16,9,48,18,9,27,2
"1325083",6,10,8,6,6,0,13,4,6,9,1
"2578113",0,0,0,1,0,0,2,0,0,0,0
"1274631",3229,9274,2959,4797,1949,406,12525,1994,1008,3263,994
"1437360",5782,8565,3278,5058,3728,1054,11526,3572,2648,5397,906
"190148",3005,11678,1569,4651,1624,372,11441,1681,903,2843,1116
"1355477",4890,6370,0,5534,0,887,7919,2894,2353,4299,847
"722472",1924,2992,1004,1789,1272,373,4010,1246,864,1887,333
"83637",1666,2371,904,1548,1027,307,3130,966,742,1595,253
"1245469",1711,2426,1153,1497,1136,424,3034,1144,860,1739,233
"255045",1510,2261,810,1375,921,318,3004,844,665,1367,263
"476282",242,346,230,301,151,53,444,131,112,215,40
"1037409",0,1,8,0,0,1,10,2,1,3,1
"1325107",1820,1740,1627,1793,766,174,2156,782,615,1071,261
"1549949",1324,1606,2805,1531,733,226,1958,815,707,1053,248
"1404367",1304,1576,1692,1448,759,229,1958,730,670,963,224
"1404864",1040,1470,1204,1123,698,209,1949,650,576,997,159
"858423",1099,1526,1230,1279,647,199,1921,718,574,918,189
"1325090",1377,1618,1568,1395,904,264,1828,943,747,1292,263
"83627",1060,1524,957,1073,692,219,1818,725,535,999,161
"1325115",1842,1328,1731,3269,584,175,1664,658,751,852,213
"1325095",1012,1327,915,1025,608,199,1641,601,483,903,148
"1404768",800,1008,1002,914,469,146,1262,467,410,619,144
"244734",681,942,847,707,408,153,1141,426,410,608,112
"931866",243,383,201,253,136,38,475,140,109,186,63
"1275962",14,25,35,17,15,5,30,19,7,29,1
"1867715",1506,4051,1487,1281,1644,769,4149,2784,986,2453,756
"2020412",1089,2789,983,1005,936,932,3371,1477,655,1432,422
"2599640",1386,3169,1159,1258,1292,1294,3221,1886,811,1951,406
"1842539",1337,2577,1104,1090,1240,587,2802,1562,754,1769,287
"2015316",1291,2338,1020,1006,1093,854,2517,1555,773,1554,424
"1792307",1059,2135,840,863,955,467,2293,1138,645,1361,224
"1526658",1193,2519,972,1008,1128,537,2546,1358,774,1627,272
"316058",1510,2049,872,1156,1086,391,2819,1074,870,1656,208
"316055",1387,1828,753,937,933,326,2576,907,725,1346,173
"316056",1377,1870,882,1116,924,362,2462,884,804,1374,215
"652103",221,351,179,201,204,98,499,207,148,303,31
"395960",229,330,180,176,185,63,404,184,131,224,35
"2592814",40,57,24,25,32,2,75,27,17,38,10
"2592817",18,14,9,12,12,5,21,4,9,15,4
"2592815",25,25,15,18,21,7,15,18,9,32,1
"2592816",1,8,4,6,6,1,13,4,3,8,2
"943830",1096,1661,653,899,751,335,2191,801,749,1189,166
"1882747",1077,2121,539,1060,642,197,2603,701,522,1019,225
"504832",19,32,36,13,12,4,22,14,7,19,0
"1333996",2050,2516,1073,1305,1390,471,3845,1276,1104,1948,242
"323097",1317,4031,8529,1127,729,398,2009,854,1571,1094,412
"323098",920,4279,14284,682,640,947,1429,842,826,777,419
"675281",1756,3791,1972,1322,1511,2174,3747,2232,1474,2346,332
"2584466",1150,2809,1402,937,980,2118,2782,1425,1562,1414,281
"2108445",652,2355,1149,504,677,1866,2066,1053,855,908,228
"2082387",777,1912,878,629,736,1213,1909,927,824,1054,178
"2493672",710,1444,658,707,628,698,1613,766,964,883,132
"2493673",878,1568,622,906,707,717,1607,825,1123,993,155
"2493676",792,1514,663,595,588,826,1546,690,868,860,141
"2493668",583,1699,593,489,556,668,1542,740,501,780,160
"2777475",1653,1665,667,1411,689,837,1541,865,6126,978,217
"2493680",767,2063,666,700,955,690,1513,705,981,864,382
"2493675",586,1376,545,503,562,693,1454,627,582,766,134
"2744518",640,1525,629,537,578,756,1453,740,714,818,161
"2744521",573,1715,635,504,650,671,1438,766,453,835,146
"2493669",709,1375,578,710,590,646,1402,698,888,796,150
"2654248",570,1325,621,491,497,736,1391,704,591,782,141
"2493677",539,1246,517,435,504,524,1076,564,415,654,122
"2493679",419,911,406,349,379,499,899,479,458,542,83
"2493678",431,918,383,311,360,437,836,430,454,512,77
"2493671",692,797,324,669,350,397,831,425,1433,440,77
"2654249",274,750,384,212,267,568,804,392,322,392,70
"2483404",440,817,348,373,341,388,783,398,352,518,73
"2493681",327,775,346,307,300,343,773,394,317,433,59
"2744523",316,837,361,265,420,376,771,533,263,527,82
"2744516",380,731,333,285,329,353,718,339,315,456,84
"1854057",244,1024,278,263,273,265,701,401,213,373,74
"2744522",251,719,334,215,345,407,670,355,252,423,81
"2483403",221,524,216,226,243,260,568,267,258,330,48
"2744517",288,525,212,259,249,238,538,286,264,321,45
"2493674",337,398,188,336,189,200,438,236,652,257,40
"2493670",329,423,174,279,167,199,397,190,664,237,48
"2744515",82,197,88,64,77,81,193,75,76,112,23
"278153",80,234,75,63,78,104,147,113,83,95,23
"2744520",59,101,46,51,45,39,107,57,40,58,17
"2744519",30,104,34,37,56,19,100,64,29,69,4
"2483402",33,72,34,26,19,32,73,29,20,48,5
"1670800",1128,2712,1500,865,1164,1720,2876,1585,1122,1706,257
"1082933",626,1460,651,477,567,664,1432,693,575,833,125
"935548",372,763,343,296,328,398,789,387,309,479,73
"935546",64,99,62,62,41,33,107,70,42,61,15
"682633",245,886,291,236,320,264,717,350,220,452,77
"278148",91,205,70,93,98,80,186,113,88,148,27
"754035",452,992,450,399,428,515,1062,512,448,621,105
"536019",572,1022,467,397,402,504,1016,515,463,607,83
"1777866",396,828,344,333,334,469,809,431,383,511,71
"763057",42,86,36,34,39,53,78,32,45,51,7
"266835",114,223,81,124,71,91,209,94,89,119,19
"2725666",46,64,32,30,40,37,93,34,34,49,8
"2774562",158,530,191,120,163,298,2408,222,118,244,56
"374606",744,2026,924,575,780,1357,2241,1050,693,1093,210
"2666139",90,300,107,64,72,260,510,123,103,127,26
"83263",111,323,106,90,118,160,723,130,70,161,27
"266779",1004,20712,689,804,959,720,6197,3756,839,1571,2602
"2599600",1013,2427,1238,795,1105,1347,2386,1331,995,1492,231
"1756988",541,1146,618,396,471,662,1180,620,450,697,85
"1852022",973,1785,818,828,973,625,1781,974,699,1352,157
"1620421",419,763,346,308,409,304,837,446,247,521,73
"411684",387,663,315,258,348,320,765,392,250,485,66
"2742145",725,1327,676,483,603,564,1370,695,495,918,100
"1867719",387,817,389,291,375,350,839,475,305,480,76
"2718938",230,380,201,169,191,163,496,202,163,281,29
"2712698",323,432,232,196,252,180,538,258,171,355,48
"2305987",23,42,22,22,19,9,43,14,15,38,4
"2613769",5893,9853,5956,4400,4655,6170,10462,5384,4236,6819,1207
"384",2804,5108,2470,2356,2437,1919,5446,2686,1883,3652,579
"29449",869,2436,1056,669,695,724,2081,774,674,1030,304
"348824",572,857,494,461,485,443,1151,530,352,667,107
"396",528,909,378,412,384,354,1086,442,343,612,121
"1312183",728,849,498,495,449,391,1004,482,416,610,101
"379684",560,990,701,371,471,751,921,639,375,639,115
"1138189",392,683,417,297,361,315,722,385,403,508,101
"56730",326,855,371,286,374,274,717,449,238,476,84
"1138194",334,595,322,246,338,263,676,329,299,463,89
"293958",386,599,318,281,321,305,666,314,209,401,56
"1138190",334,501,263,243,251,216,660,296,248,366,86
"398",357,556,339,290,237,295,615,330,234,401,55
"1368430",287,582,495,209,261,357,584,301,227,397,52
"451876",249,454,540,187,226,357,548,428,760,322,52
"240521",280,502,353,223,241,319,494,290,205,384,72
"2583231",215,396,176,161,184,132,401,186,123,264,40
"1335061",235,378,491,157,255,1032,368,338,187,360,42
"1538158",157,298,135,130,147,124,365,176,127,220,47
"2267833",164,293,199,134,165,199,333,224,127,221,36
"648995",144,336,214,109,127,236,242,378,251,185,74
"1538159",68,109,57,52,44,50,108,61,52,89,12
"2081791",36,89,47,39,40,27,101,31,25,40,12
"448181",0,21,7,4,0,25,3,15,6,5,2
"1183400",1612,5564,1921,1341,1439,1815,3249,11036,1209,2506,1451
"373",562,1038,638,443,603,603,1138,573,380,784,116
"2632611",571,1007,767,463,532,625,1010,990,309,726,129
"359",291,528,293,238,272,285,684,317,181,378,85
"28099",241,422,274,170,166,256,416,251,149,295,60
"160699",211,390,273,175,188,310,383,241,159,263,50
"1183412",1,3,9,0,3,6,1,5,7,3,0
"399",1533,2182,2395,1017,980,1765,2125,1316,1091,1485,340
"2629175",1088,1852,1619,803,811,2703,1701,1139,745,1159,263
"1125847",91,167,131,64,67,382,160,82,64,96,8
"663276",2641,7435,3636,2065,3169,2443,6087,3565,2034,3882,922
"382",2431,16399,48209,2964,4769,0,4028,7869,5061,7639,2118
"2613772",1336,2570,1514,1001,1347,3462,2787,1592,984,1800,359
"194963",724,5925,1054,558,839,634,2681,836,537,1073,679
"110321",629,1573,2094,483,738,1496,1140,800,559,1065,166
"106592",1378,4626,1543,999,1425,1570,4501,1427,907,2251,626
