"","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report"
"1325100",4532,3889,2107,2187,0,1270,2635,2270,1141,1439,377
"288000",4946,3070,1974,1454,928,1188,2404,1744,1021,1264,238
"1223566",2942,2970,1349,1432,595,917,1743,1082,2627,1071,0
"114615",3829,2912,1607,1462,825,1113,2155,1683,941,1183,188
"1325102",4697,2872,1962,2152,812,936,2464,1405,0,1779,407
"1197460",3261,2825,1339,1329,571,810,1749,1393,873,1018,242
"115808",3741,2812,1717,1483,821,1122,2069,1703,936,1239,215
"2057741",4740,2639,1367,1173,662,937,1685,1383,918,976,221
"1325120",3069,2463,1301,1211,576,791,1607,1277,725,904,227
"2715960",3658,2286,1205,1117,520,695,1494,1250,709,785,170
"1404888",2583,1940,1278,1248,599,722,1409,1095,2016,838,302
"1325114",2392,1809,2084,2306,706,618,1224,1283,1632,634,289
"1325112",2253,1759,1164,1180,449,572,1182,1114,986,676,141
"1325111",2424,1711,1231,1089,827,1031,1320,1046,1012,806,163
"376",1805,1229,846,819,353,488,888,784,720,506,124
"319017",852,561,336,354,170,207,381,352,340,220,56
"2493093",580,287,193,165,82,119,205,158,163,107,24
"2599805",226,141,112,115,47,59,107,70,113,66,16
"2599819",230,139,108,112,16,49,72,83,120,44,11
"1404649",275,48,28,21,9,24,37,26,20,16,2
"1325083",32,13,9,6,6,6,12,8,8,9,1
"2578113",3,2,0,1,0,0,0,0,0,1,0
"1274631",5880,12525,3072,4797,1008,2049,4896,3180,2959,2790,994
"1437360",15297,11526,7029,5058,2648,3777,6937,5669,3278,4262,906
"190148",5429,11441,2782,4651,903,1451,4072,2949,1569,2271,1116
"1355477",0,7919,5841,5534,2353,2930,0,5240,0,3251,847
"722472",4968,4010,2021,1789,864,1289,2318,2016,1004,1431,333
"83637",3768,3130,1626,1548,742,1063,2078,1776,904,1088,253
"1245469",4324,3034,1790,1497,860,1145,2157,1776,1153,1301,233
"255045",4636,3004,1632,1375,665,1065,1836,1536,810,1020,263
"476282",555,444,252,301,112,144,292,238,230,185,40
"1037409",3,10,1,0,1,0,3,1,8,2,1
"1325107",3038,2156,1412,1793,615,788,1451,1412,1627,883,261
"1549949",3383,1958,1423,1531,707,820,1424,1324,2805,948,248
"1404367",3257,1958,1975,1448,670,656,1356,1336,1692,813,224
"1404864",2561,1949,1487,1123,576,676,1252,1097,1204,739,159
"858423",2573,1921,1280,1279,574,645,1310,1202,1230,786,189
"1325090",5234,1828,1697,1395,747,731,1486,1358,1568,840,263
"83627",2502,1818,1199,1073,535,665,1356,1092,957,752,161
"1325115",2517,1664,1721,3269,751,628,1372,1408,1731,745,213
"1325095",2325,1641,1238,1025,483,578,1229,1059,915,723,148
"1404768",1758,1262,1142,914,410,436,840,795,1002,531,144
"244734",4139,1141,913,707,410,564,865,751,847,490,112
"931866",537,475,242,253,109,134,258,218,201,130,63
"1275962",100,30,19,17,7,23,29,17,35,28,1
"1867715",10143,4149,1849,1281,986,1315,2341,1567,1487,1594,756
"2020412",6887,3371,1450,1005,655,1000,1870,1296,983,1044,422
"2599640",5008,3221,1745,1258,811,1292,2252,1549,1159,1508,406
"1842539",4036,2802,1708,1090,754,1112,1926,1401,1104,1352,287
"2015316",5952,2517,1737,1006,773,1201,1858,1443,1020,1189,424
"1792307",3155,2293,1322,863,645,841,1543,1146,840,1084,224
"1526658",3969,2546,1505,1008,774,1082,1879,1260,972,1240,272
"316058",4542,2819,1717,1156,870,1211,1951,1670,872,1101,208
"316055",4173,2576,1504,937,725,1028,1605,1362,753,1032,173
"316056",4478,2462,1590,1116,804,1059,1762,1514,882,971,215
"652103",1064,499,367,201,148,181,371,310,179,198,31
"395960",780,404,260,176,131,164,300,285,180,216,35
"2592814",120,75,42,25,17,27,50,41,24,29,10
"2592817",62,21,24,12,9,7,18,24,9,10,4
"2592815",30,15,21,18,9,16,30,11,15,22,1
"2592816",9,13,9,6,3,4,5,8,4,6,2
"943830",4461,2191,1300,899,749,984,1454,1192,653,800,166
"1882747",3199,2603,1069,1060,522,697,1442,1111,539,743,225
"504832",123,22,7,13,7,26,13,13,36,18,0
"1333996",4269,3845,2257,1305,1104,1298,2144,1888,1073,1397,242
"323097",44838,2009,1957,1127,1571,2888,1318,2591,8529,824,412
"323098",63896,1429,1276,682,826,1190,1252,1272,14284,738,419
"675281",13529,3747,3688,1322,1474,1749,2348,2525,1972,1773,332
"2584466",17587,2782,3571,937,1562,1743,1813,2832,1402,1200,281
"2108445",11218,2066,1883,504,855,885,1029,1375,1149,902,228
"2082387",8908,1909,1769,629,824,992,1123,1368,878,801,178
"2493672",4921,1613,1246,707,964,1333,1003,1053,658,680,132
"2493673",4942,1607,1385,906,1123,1472,1301,1288,622,834,155
"2493676",5479,1546,1372,595,868,1165,973,1085,663,653,141
"2493668",4151,1542,939,489,501,727,784,759,593,702,160
"2777475",6353,1541,1884,1411,6126,6131,1808,1684,667,726,217
"2493680",4601,1513,1355,700,981,1272,2039,1135,666,672,382
"2493675",4351,1454,1197,503,582,797,835,984,545,650,134
"2744518",5048,1453,1286,537,714,902,932,982,629,687,161
"2744521",4039,1438,986,504,453,744,910,792,635,788,146
"2493669",4857,1402,1185,710,888,1246,1049,1052,578,640,150
"2654248",5794,1391,1209,491,591,695,863,946,621,631,141
"2493677",3471,1076,878,435,415,573,748,693,517,548,122
"2493679",3481,899,905,349,458,566,604,653,406,429,83
"2493678",3592,836,826,311,454,483,575,583,383,402,77
"2493671",2864,831,816,669,1433,1507,663,654,324,362,77
"2654249",3333,804,692,212,322,372,450,421,384,322,70
"2483404",3032,783,783,373,352,487,594,574,348,372,73
"2493681",2825,773,660,307,317,447,532,461,346,345,59
"2744523",2533,771,562,265,263,318,542,442,361,446,82
"2744516",2459,718,682,285,315,413,472,491,333,327,84
"1854057",1765,701,445,263,213,392,412,337,278,340,74
"2744522",2310,670,544,215,252,274,417,464,334,298,81
"2483403",2274,568,547,226,258,319,409,376,216,216,48
"2744517",1741,538,493,259,264,325,396,380,212,259,45
"2493674",1376,438,395,336,652,743,391,335,188,228,40
"2493670",1412,397,381,279,664,677,345,343,174,182,48
"2744515",635,193,131,64,76,105,117,89,88,90,23
"278153",519,147,144,63,83,92,122,118,75,100,23
"2744520",407,107,78,51,40,59,69,79,46,41,17
"2744519",224,100,30,37,29,47,60,33,34,45,4
"2483402",174,73,65,26,20,43,43,36,34,33,5
"1670800",9483,2876,2857,865,1122,1265,1659,1881,1500,1428,257
"1082933",5334,1432,1184,477,575,718,949,936,651,633,125
"935548",2847,789,698,296,309,384,522,535,343,347,73
"935546",334,107,106,62,42,43,84,72,62,45,15
"682633",1440,717,519,236,220,311,466,330,291,352,77
"278148",657,186,179,93,88,94,172,126,70,96,27
"754035",3559,1062,969,399,448,558,713,731,450,445,105
"536019",3513,1016,866,397,463,575,696,718,467,476,83
"1777866",3031,809,673,333,383,461,563,587,344,347,71
"763057",315,78,93,34,45,67,96,71,36,56,7
"266835",628,209,147,124,89,102,121,128,81,100,19
"2725666",860,93,70,30,34,80,55,53,32,26,8
"2774562",4500,2408,302,120,118,158,271,210,191,184,56
"374606",21367,2241,1753,575,693,894,1216,1160,924,891,210
"2666139",1926,510,191,64,103,117,142,221,107,102,26
"83263",2260,723,181,90,70,125,166,118,106,123,27
