"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1325100",3889,377,3021,3155,1141,2118,1254,1960,2270,1270,0
"288000",3070,238,2371,2153,1021,1715,1141,1647,1744,1188,928
"1223566",2970,0,2921,3851,2627,1113,812,998,1082,917,595
"114615",2912,188,2276,2109,941,1600,1073,1688,1683,1113,825
"1325102",2872,407,2056,2550,0,1431,1150,1128,1405,936,812
"1197460",2825,242,2206,2125,873,1438,888,1325,1393,810,571
"115808",2812,215,2209,2012,936,1565,977,1605,1703,1122,821
"2057741",2639,221,2118,2011,918,1363,885,1281,1383,937,662
"1325120",2463,227,1867,1846,725,1277,793,1171,1277,791,576
"2715960",2286,170,1737,1705,709,1171,751,1037,1250,695,520
"1404888",1940,302,1639,1601,2016,1131,685,924,1095,722,599
"1325114",1809,289,1306,1334,1632,1875,579,757,1283,618,706
"1325112",1759,141,1349,1367,986,1075,628,880,1114,572,449
"1325111",1711,163,1467,1326,1012,1016,707,958,1046,1031,827
"376",1229,124,1005,908,720,708,445,669,784,488,353
"319017",561,56,430,403,340,330,195,271,352,207,170
"2493093",287,24,242,199,163,153,138,171,158,119,82
"2599805",141,16,122,129,113,95,60,80,70,59,47
"2599819",139,11,110,82,120,83,54,82,83,49,16
"1404649",48,2,46,42,20,22,18,27,26,24,9
"1325083",13,1,10,11,8,6,4,9,8,6,6
"2578113",2,0,0,0,0,0,0,0,0,0,0
"1274631",12525,994,9274,10306,2959,3229,1994,3263,3180,2049,1008
"1437360",11526,906,8565,8295,3278,5782,3572,5397,5669,3777,2648
"190148",11441,1116,11678,9939,1569,3005,1681,2843,2949,1451,903
"1355477",7919,847,6370,0,0,4890,2894,4299,5240,2930,2353
"722472",4010,333,2992,2825,1004,1924,1246,1887,2016,1289,864
"83637",3130,253,2371,2419,904,1666,966,1595,1776,1063,742
"1245469",3034,233,2426,2141,1153,1711,1144,1739,1776,1145,860
"255045",3004,263,2261,2196,810,1510,844,1367,1536,1065,665
"476282",444,40,346,298,230,242,131,215,238,144,112
"1037409",10,1,1,6,8,0,2,3,1,0,1
"1325107",2156,261,1740,1595,1627,1820,782,1071,1412,788,615
"1549949",1958,248,1606,1526,2805,1324,815,1053,1324,820,707
"1404367",1958,224,1576,1463,1692,1304,730,963,1336,656,670
"1404864",1949,159,1470,1409,1204,1040,650,997,1097,676,576
"858423",1921,189,1526,1439,1230,1099,718,918,1202,645,574
"1325090",1828,263,1618,1386,1568,1377,943,1292,1358,731,747
"83627",1818,161,1524,1316,957,1060,725,999,1092,665,535
"1325115",1664,213,1328,1271,1731,1842,658,852,1408,628,751
"1325095",1641,148,1327,1234,915,1012,601,903,1059,578,483
"1404768",1262,144,1008,940,1002,800,467,619,795,436,410
"244734",1141,112,942,797,847,681,426,608,751,564,410
"931866",475,63,383,339,201,243,140,186,218,134,109
"1275962",30,1,25,19,35,14,19,29,17,23,7
"1867715",4149,756,4051,2395,1487,1506,2784,2453,1567,1315,986
"2020412",3371,422,2789,1828,983,1089,1477,1432,1296,1000,655
"2599640",3221,406,3169,2047,1159,1386,1886,1951,1549,1292,811
"1842539",2802,287,2577,1786,1104,1337,1562,1769,1401,1112,754
"2015316",2517,424,2338,1656,1020,1291,1555,1554,1443,1201,773
"1792307",2293,224,2135,1483,840,1059,1138,1361,1146,841,645
"1526658",2546,272,2519,1725,972,1193,1358,1627,1260,1082,774
"316058",2819,208,2049,1811,872,1510,1074,1656,1670,1211,870
"316055",2576,173,1828,1610,753,1387,907,1346,1362,1028,725
"316056",2462,215,1870,1630,882,1377,884,1374,1514,1059,804
"652103",499,31,351,313,179,221,207,303,310,181,148
"395960",404,35,330,282,180,229,184,224,285,164,131
"2592814",75,10,57,44,24,40,27,38,41,27,17
"2592817",21,4,14,16,9,18,4,15,24,7,9
"2592815",15,1,25,19,15,25,18,32,11,16,9
"2592816",13,2,8,9,4,1,4,8,8,4,3
"943830",2191,166,1661,1506,653,1096,801,1189,1192,984,749
"1882747",2603,225,2121,2072,539,1077,701,1019,1111,697,522
"504832",22,0,32,11,36,19,14,19,13,26,7
"1333996",3845,242,2516,2621,1073,2050,1276,1948,1888,1298,1104
