"","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report"
"1325100",3155,1464,4532,3110,1626,1711,1439,2270,1270,2635,2107
"288000",2153,1357,4946,2721,1299,1508,1264,1744,1188,2404,1974
"1223566",3851,1383,2942,2874,1138,1292,1071,1082,917,1743,1349
"114615",2109,1341,3829,2642,1272,1423,1183,1683,1113,2155,1607
"1325102",2550,0,4697,0,1477,1305,1779,1405,936,2464,1962
"1197460",2125,981,3261,2026,1104,1183,1018,1393,810,1749,1339
"115808",2012,1227,3741,2610,1261,1474,1239,1703,1122,2069,1717
"2057741",2011,1116,4740,2066,1067,1137,976,1383,937,1685,1367
"1325120",1846,964,3069,1876,945,1076,904,1277,791,1607,1301
"2715960",1705,903,3658,1767,864,1015,785,1250,695,1494,1205
"1404888",1601,1218,2583,2667,829,1047,838,1095,722,1409,1278
"1325114",1334,1005,2392,8324,758,744,634,1283,618,1224,2084
"1325112",1367,872,2253,2126,768,846,676,1114,572,1182,1164
"1325111",1326,944,2424,2043,797,926,806,1046,1031,1320,1231
"376",908,648,1805,1519,551,601,506,784,488,888,846
"319017",403,294,852,640,226,246,220,352,207,381,336
"2493093",199,137,580,278,158,157,107,158,119,205,193
"2599805",129,77,226,282,64,85,66,70,59,107,112
"2599819",82,68,230,258,61,72,44,83,49,72,108
"1404649",42,21,275,40,22,42,16,26,24,37,28
"1325083",11,9,32,26,1,5,9,8,6,12,9
"2578113",0,1,3,1,0,0,1,0,0,0,0
"1274631",10306,5384,5880,3773,3041,3550,2790,3180,2049,4896,3072
"1437360",8295,4438,15297,8167,4420,4758,4262,5669,3777,6937,7029
"190148",9939,2287,5429,3639,2678,2941,2271,2949,1451,4072,2782
"1355477",0,4257,0,10805,3568,3875,3251,5240,2930,0,5841
"722472",2825,1398,4968,2708,1659,1748,1431,2016,1289,2318,2021
"83637",2419,1177,3768,2478,1237,1398,1088,1776,1063,2078,1626
"1245469",2141,1399,4324,2707,1340,1518,1301,1776,1145,2157,1790
"255045",2196,1139,4636,2133,1131,1124,1020,1536,1065,1836,1632
"476282",298,196,555,481,185,218,185,238,144,292,252
"1037409",6,2,3,5,1,1,2,1,0,3,1
"1325107",1595,1190,3038,2680,1029,1005,883,1412,788,1451,1412
"1549949",1526,1616,3383,2808,925,1095,948,1324,820,1424,1423
"1404367",1463,1271,3257,3897,780,971,813,1336,656,1356,1975
"1404864",1409,979,2561,2430,753,872,739,1097,676,1252,1487
"858423",1439,978,2573,2519,819,916,786,1202,645,1310,1280
"1325090",1386,1468,5234,2717,1036,938,840,1358,731,1486,1697
"83627",1316,897,2502,2018,837,884,752,1092,665,1356,1199
"1325115",1271,1128,2517,5393,790,833,745,1408,628,1372,1721
"1325095",1234,800,2325,2056,723,811,723,1059,578,1229,1238
"1404768",940,671,1758,2858,516,541,531,795,436,840,1142
"244734",797,675,4139,1476,502,561,490,751,564,865,913
"931866",339,181,537,470,153,166,130,218,134,258,242
"1275962",19,12,100,17,7,31,28,17,23,29,19
"1867715",2395,2709,10143,2710,1615,1915,1594,1567,1315,2341,1849
"2020412",1828,2242,6887,1956,1139,1281,1044,1296,1000,1870,1450
"2599640",2047,2693,5008,2328,1524,1821,1508,1549,1292,2252,1745
"1842539",1786,1582,4036,2300,1438,1642,1352,1401,1112,1926,1708
"2015316",1656,2166,5952,2210,1160,1371,1189,1443,1201,1858,1737
"1792307",1483,1187,3155,1520,1041,1246,1084,1146,841,1543,1322
"1526658",1725,1385,3969,2092,1284,1425,1240,1260,1082,1879,1505
"316058",1811,1290,4542,2354,1152,1301,1101,1670,1211,1951,1717
"316055",1610,1134,4173,2027,960,1113,1032,1362,1028,1605,1504
"316056",1630,1222,4478,2046,985,1099,971,1514,1059,1762,1590
"652103",313,238,1064,440,221,236,198,310,181,371,367
"395960",282,208,780,390,214,289,216,285,164,300,260
"2592814",44,21,120,39,42,35,29,41,27,50,42
"2592817",16,7,62,21,3,13,10,24,7,18,24
"2592815",19,21,30,37,22,19,22,11,16,30,21
"2592816",9,5,9,6,7,5,6,8,4,5,9
"943830",1506,1130,4461,1849,890,985,800,1192,984,1454,1300
"1882747",2072,869,3199,1553,866,946,743,1111,697,1442,1069
"504832",11,26,123,13,11,18,18,13,26,13,7
"1333996",2621,1688,4269,3240,1348,1614,1397,1888,1298,2144,2257
"323097",1464,4658,44838,1866,1239,993,824,2591,2888,1318,1957
"323098",1121,2310,63896,1415,719,759,738,1272,1190,1252,1276
"675281",2145,3669,13529,2904,1718,2118,1773,2525,1749,2348,3688
"2584466",1484,3704,17587,2557,957,1277,1200,2832,1743,1813,3571
"2108445",1370,2876,11218,1337,644,947,902,1375,885,1029,1883
"2082387",1022,1977,8908,1865,661,855,801,1368,992,1123,1769
"2493672",924,1383,4921,1185,702,754,680,1053,1333,1003,1246
"2493673",1029,1354,4942,1460,787,917,834,1288,1472,1301,1385
"2493676",903,1467,5479,1307,644,801,653,1085,1165,973,1372
"2493668",829,1204,4151,905,666,792,702,759,727,784,939
"2777475",1012,1508,6353,3683,1005,820,726,1684,6131,1808,1884
"2493680",1547,1330,4601,1296,1152,726,672,1135,1272,2039,1355
"2493675",852,1218,4351,1057,583,701,650,984,797,835,1197
"2744518",853,1363,5048,1189,670,810,687,982,902,932,1286
"2744521",946,1275,4039,840,733,833,788,792,744,910,986
"2493669",898,1315,4857,1229,728,717,640,1052,1246,1049,1185
"2654248",798,1234,5794,977,613,750,631,946,695,863,1209
"2493677",696,1060,3471,858,522,660,548,693,573,748,878
"2493679",578,920,3481,829,412,469,429,653,566,604,905
"2493678",513,749,3592,724,355,476,402,583,483,575,826
"2493671",491,690,2864,1027,379,410,362,654,1507,663,816
"2654249",435,935,3333,484,254,347,322,421,372,450,692
"2483404",526,738,3032,665,384,417,372,574,487,594,783
"2493681",475,686,2825,625,356,386,345,461,447,532,660
"2744523",422,788,2533,538,415,480,446,442,318,542,562
"2744516",410,679,2459,656,347,408,327,491,413,472,682
"1854057",476,487,1765,418,373,372,340,337,392,412,445
"2744522",405,796,2310,439,268,371,298,464,274,417,544
"2483403",321,483,2274,459,255,300,216,376,319,409,547
"2744517",324,472,1741,462,253,262,259,380,325,396,493
"2493674",250,375,1376,570,243,242,228,335,743,391,395
"2493670",269,346,1412,539,210,213,182,343,677,345,381
"2744515",115,179,635,149,83,86,90,89,105,117,131
"278153",118,176,519,91,87,113,100,118,92,122,144
"2744520",62,82,407,82,39,37,41,79,59,69,78
"2744519",69,64,224,38,77,54,45,33,47,60,30
"2483402",45,67,174,54,35,47,33,36,43,43,65
"1670800",1629,2821,9483,1960,1110,1564,1428,1881,1265,1659,2857
"1082933",842,1338,5334,1062,608,757,633,936,718,949,1184
