"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report"
"1325100",3021,3155,4532,374,2118,1254,1960,1439,2270,1270,0
"288000",2371,2153,4946,401,1715,1141,1647,1264,1744,1188,928
"1223566",2921,3851,2942,204,1113,812,998,1071,1082,917,595
"114615",2276,2109,3829,356,1600,1073,1688,1183,1683,1113,825
"1325102",2056,2550,4697,211,1431,1150,1128,1779,1405,936,812
"1197460",2206,2125,3261,257,1438,888,1325,1018,1393,810,571
"115808",2209,2012,3741,363,1565,977,1605,1239,1703,1122,821
"2057741",2118,2011,4740,274,1363,885,1281,976,1383,937,662
"1325120",1867,1846,3069,227,1277,793,1171,904,1277,791,576
"2715960",1737,1705,3658,219,1171,751,1037,785,1250,695,520
"1404888",1639,1601,2583,214,1131,685,924,838,1095,722,599
"1325114",1306,1334,2392,160,1875,579,757,634,1283,618,706
"1325112",1349,1367,2253,222,1075,628,880,676,1114,572,449
"1325111",1467,1326,2424,186,1016,707,958,806,1046,1031,827
"376",1005,908,1805,138,708,445,669,506,784,488,353
"319017",430,403,852,62,330,195,271,220,352,207,170
"2493093",242,199,580,26,153,138,171,107,158,119,82
"2599805",122,129,226,18,95,60,80,66,70,59,47
"2599819",110,82,230,15,83,54,82,44,83,49,16
"1404649",46,42,275,9,22,18,27,16,26,24,9
"1325083",10,11,32,0,6,4,9,9,8,6,6
"2578113",0,0,3,0,0,0,0,1,0,0,0
"1274631",9274,10306,5880,406,3229,1994,3263,2790,3180,2049,1008
"1437360",8565,8295,15297,1054,5782,3572,5397,4262,5669,3777,2648
"190148",11678,9939,5429,372,3005,1681,2843,2271,2949,1451,903
"1355477",6370,0,0,887,4890,2894,4299,3251,5240,2930,2353
"722472",2992,2825,4968,373,1924,1246,1887,1431,2016,1289,864
"83637",2371,2419,3768,307,1666,966,1595,1088,1776,1063,742
"1245469",2426,2141,4324,424,1711,1144,1739,1301,1776,1145,860
"255045",2261,2196,4636,318,1510,844,1367,1020,1536,1065,665
"476282",346,298,555,53,242,131,215,185,238,144,112
"1037409",1,6,3,1,0,2,3,2,1,0,1
"1325107",1740,1595,3038,174,1820,782,1071,883,1412,788,615
"1549949",1606,1526,3383,226,1324,815,1053,948,1324,820,707
"1404367",1576,1463,3257,229,1304,730,963,813,1336,656,670
"1404864",1470,1409,2561,209,1040,650,997,739,1097,676,576
"858423",1526,1439,2573,199,1099,718,918,786,1202,645,574
"1325090",1618,1386,5234,264,1377,943,1292,840,1358,731,747
"83627",1524,1316,2502,219,1060,725,999,752,1092,665,535
"1325115",1328,1271,2517,175,1842,658,852,745,1408,628,751
"1325095",1327,1234,2325,199,1012,601,903,723,1059,578,483
"1404768",1008,940,1758,146,800,467,619,531,795,436,410
"244734",942,797,4139,153,681,426,608,490,751,564,410
"931866",383,339,537,38,243,140,186,130,218,134,109
"1275962",25,19,100,5,14,19,29,28,17,23,7
"1867715",4051,2395,10143,769,1506,2784,2453,1594,1567,1315,986
"2020412",2789,1828,6887,932,1089,1477,1432,1044,1296,1000,655
"2599640",3169,2047,5008,1294,1386,1886,1951,1508,1549,1292,811
"1842539",2577,1786,4036,587,1337,1562,1769,1352,1401,1112,754
"2015316",2338,1656,5952,854,1291,1555,1554,1189,1443,1201,773
"1792307",2135,1483,3155,467,1059,1138,1361,1084,1146,841,645
"1526658",2519,1725,3969,537,1193,1358,1627,1240,1260,1082,774
"316058",2049,1811,4542,391,1510,1074,1656,1101,1670,1211,870
"316055",1828,1610,4173,326,1387,907,1346,1032,1362,1028,725
"316056",1870,1630,4478,362,1377,884,1374,971,1514,1059,804
"652103",351,313,1064,98,221,207,303,198,310,181,148
"395960",330,282,780,63,229,184,224,216,285,164,131
"2592814",57,44,120,2,40,27,38,29,41,27,17
"2592817",14,16,62,5,18,4,15,10,24,7,9
"2592815",25,19,30,7,25,18,32,22,11,16,9
"2592816",8,9,9,1,1,4,8,6,8,4,3
"943830",1661,1506,4461,335,1096,801,1189,800,1192,984,749
"1882747",2121,2072,3199,197,1077,701,1019,743,1111,697,522
"504832",32,11,123,4,19,14,19,18,13,26,7
"1333996",2516,2621,4269,471,2050,1276,1948,1397,1888,1298,1104
"323097",4031,1464,44838,398,1317,854,1094,824,2591,2888,1571
"323098",4279,1121,63896,947,920,842,777,738,1272,1190,826
"675281",3791,2145,13529,2174,1756,2232,2346,1773,2525,1749,1474
"2584466",2809,1484,17587,2118,1150,1425,1414,1200,2832,1743,1562
"2108445",2355,1370,11218,1866,652,1053,908,902,1375,885,855
"2082387",1912,1022,8908,1213,777,927,1054,801,1368,992,824
"2493672",1444,924,4921,698,710,766,883,680,1053,1333,964
"2493673",1568,1029,4942,717,878,825,993,834,1288,1472,1123
"2493676",1514,903,5479,826,792,690,860,653,1085,1165,868
"2493668",1699,829,4151,668,583,740,780,702,759,727,501
"2777475",1665,1012,6353,837,1653,865,978,726,1684,6131,6126
"2493680",2063,1547,4601,690,767,705,864,672,1135,1272,981
"2493675",1376,852,4351,693,586,627,766,650,984,797,582
"2744518",1525,853,5048,756,640,740,818,687,982,902,714
"2744521",1715,946,4039,671,573,766,835,788,792,744,453
