"","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report"
"1325100",3021,3155,1464,374,3110,2118,1254,1317,1960,1626,1711
"288000",2371,2153,1357,401,2721,1715,1141,1210,1647,1299,1508
"1223566",2921,3851,1383,204,2874,1113,812,654,998,1138,1292
"114615",2276,2109,1341,356,2642,1600,1073,1154,1688,1272,1423
"1325102",2056,2550,0,211,0,1431,1150,961,1128,1477,1305
"1197460",2206,2125,981,257,2026,1438,888,910,1325,1104,1183
"115808",2209,2012,1227,363,2610,1565,977,1100,1605,1261,1474
"2057741",2118,2011,1116,274,2066,1363,885,895,1281,1067,1137
"1325120",1867,1846,964,227,1876,1277,793,799,1171,945,1076
"2715960",1737,1705,903,219,1767,1171,751,740,1037,864,1015
"1404888",1639,1601,1218,214,2667,1131,685,618,924,829,1047
"1325114",1306,1334,1005,160,8324,1875,579,688,757,758,744
"1325112",1349,1367,872,222,2126,1075,628,668,880,768,846
"1325111",1467,1326,944,186,2043,1016,707,702,958,797,926
"376",1005,908,648,138,1519,708,445,408,669,551,601
"319017",430,403,294,62,640,330,195,179,271,226,246
"2493093",242,199,137,26,278,153,138,124,171,158,157
"2599805",122,129,77,18,282,95,60,47,80,64,85
"2599819",110,82,68,15,258,83,54,48,82,61,72
"1404649",46,42,21,9,40,22,18,16,27,22,42
"1325083",10,11,9,0,26,6,4,6,9,1,5
"2578113",0,0,1,0,1,0,0,0,0,0,0
"1274631",9274,10306,5384,406,3773,3229,1994,1949,3263,3041,3550
"1437360",8565,8295,4438,1054,8167,5782,3572,3728,5397,4420,4758
"190148",11678,9939,2287,372,3639,3005,1681,1624,2843,2678,2941
"1355477",6370,0,4257,887,10805,4890,2894,0,4299,3568,3875
"722472",2992,2825,1398,373,2708,1924,1246,1272,1887,1659,1748
"83637",2371,2419,1177,307,2478,1666,966,1027,1595,1237,1398
"1245469",2426,2141,1399,424,2707,1711,1144,1136,1739,1340,1518
"255045",2261,2196,1139,318,2133,1510,844,921,1367,1131,1124
"476282",346,298,196,53,481,242,131,151,215,185,218
"1037409",1,6,2,1,5,0,2,0,3,1,1
"1325107",1740,1595,1190,174,2680,1820,782,766,1071,1029,1005
"1549949",1606,1526,1616,226,2808,1324,815,733,1053,925,1095
