"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report"
"1325100",3889,377,3021,3155,1464,1141,4532,374
"288000",3070,238,2371,2153,1357,1021,4946,401
"1223566",2970,0,2921,3851,1383,2627,2942,204
"114615",2912,188,2276,2109,1341,941,3829,356
"1325102",2872,407,2056,2550,0,0,4697,211
"1197460",2825,242,2206,2125,981,873,3261,257
"115808",2812,215,2209,2012,1227,936,3741,363
"2057741",2639,221,2118,2011,1116,918,4740,274
"1325120",2463,227,1867,1846,964,725,3069,227
"2715960",2286,170,1737,1705,903,709,3658,219
"1404888",1940,302,1639,1601,1218,2016,2583,214
"1325114",1809,289,1306,1334,1005,1632,2392,160
"1325112",1759,141,1349,1367,872,986,2253,222
"1325111",1711,163,1467,1326,944,1012,2424,186
"376",1229,124,1005,908,648,720,1805,138
"319017",561,56,430,403,294,340,852,62
"2493093",287,24,242,199,137,163,580,26
"2599805",141,16,122,129,77,113,226,18
"2599819",139,11,110,82,68,120,230,15
"1404649",48,2,46,42,21,20,275,9
"1325083",13,1,10,11,9,8,32,0
"2578113",2,0,0,0,1,0,3,0
"1274631",12525,994,9274,10306,5384,2959,5880,406
"1437360",11526,906,8565,8295,4438,3278,15297,1054
"190148",11441,1116,11678,9939,2287,1569,5429,372
"1355477",7919,847,6370,0,4257,0,0,887
"722472",4010,333,2992,2825,1398,1004,4968,373
"83637",3130,253,2371,2419,1177,904,3768,307
"1245469",3034,233,2426,2141,1399,1153,4324,424
"255045",3004,263,2261,2196,1139,810,4636,318
"476282",444,40,346,298,196,230,555,53
"1037409",10,1,1,6,2,8,3,1
"1325107",2156,261,1740,1595,1190,1627,3038,174
"1549949",1958,248,1606,1526,1616,2805,3383,226
"1404367",1958,224,1576,1463,1271,1692,3257,229
"1404864",1949,159,1470,1409,979,1204,2561,209
"858423",1921,189,1526,1439,978,1230,2573,199
"1325090",1828,263,1618,1386,1468,1568,5234,264
"83627",1818,161,1524,1316,897,957,2502,219
"1325115",1664,213,1328,1271,1128,1731,2517,175
"1325095",1641,148,1327,1234,800,915,2325,199
"1404768",1262,144,1008,940,671,1002,1758,146
"244734",1141,112,942,797,675,847,4139,153
"931866",475,63,383,339,181,201,537,38
"1275962",30,1,25,19,12,35,100,5
"1867715",4149,756,4051,2395,2709,1487,10143,769
"2020412",3371,422,2789,1828,2242,983,6887,932
"2599640",3221,406,3169,2047,2693,1159,5008,1294
"1842539",2802,287,2577,1786,1582,1104,4036,587
"2015316",2517,424,2338,1656,2166,1020,5952,854
"1792307",2293,224,2135,1483,1187,840,3155,467
"1526658",2546,272,2519,1725,1385,972,3969,537
"316058",2819,208,2049,1811,1290,872,4542,391
"316055",2576,173,1828,1610,1134,753,4173,326
"316056",2462,215,1870,1630,1222,882,4478,362
"652103",499,31,351,313,238,179,1064,98
"395960",404,35,330,282,208,180,780,63
"2592814",75,10,57,44,21,24,120,2
"2592817",21,4,14,16,7,9,62,5
"2592815",15,1,25,19,21,15,30,7
"2592816",13,2,8,9,5,4,9,1
"943830",2191,166,1661,1506,1130,653,4461,335
"1882747",2603,225,2121,2072,869,539,3199,197
"504832",22,0,32,11,26,36,123,4
"1333996",3845,242,2516,2621,1688,1073,4269,471
"323097",2009,412,4031,1464,4658,8529,44838,398
"323098",1429,419,4279,1121,2310,14284,63896,947
"675281",3747,332,3791,2145,3669,1972,13529,2174
"2584466",2782,281,2809,1484,3704,1402,17587,2118
"2108445",2066,228,2355,1370,2876,1149,11218,1866
"2082387",1909,178,1912,1022,1977,878,8908,1213
"2493672",1613,132,1444,924,1383,658,4921,698
"2493673",1607,155,1568,1029,1354,622,4942,717
"2493676",1546,141,1514,903,1467,663,5479,826
"2493668",1542,160,1699,829,1204,593,4151,668
"2777475",1541,217,1665,1012,1508,667,6353,837
"2493680",1513,382,2063,1547,1330,666,4601,690
"2493675",1454,134,1376,852,1218,545,4351,693
"2744518",1453,161,1525,853,1363,629,5048,756
"2744521",1438,146,1715,946,1275,635,4039,671
"2493669",1402,150,1375,898,1315,578,4857,646
"2654248",1391,141,1325,798,1234,621,5794,736
"2493677",1076,122,1246,696,1060,517,3471,524
"2493679",899,83,911,578,920,406,3481,499
"2493678",836,77,918,513,749,383,3592,437
"2493671",831,77,797,491,690,324,2864,397
"2654249",804,70,750,435,935,384,3333,568
"2483404",783,73,817,526,738,348,3032,388
"2493681",773,59,775,475,686,346,2825,343
"2744523",771,82,837,422,788,361,2533,376
"2744516",718,84,731,410,679,333,2459,353
"1854057",701,74,1024,476,487,278,1765,265
"2744522",670,81,719,405,796,334,2310,407
"2483403",568,48,524,321,483,216,2274,260
"2744517",538,45,525,324,472,212,1741,238
"2493674",438,40,398,250,375,188,1376,200
"2493670",397,48,423,269,346,174,1412,199
"2744515",193,23,197,115,179,88,635,81
"278153",147,23,234,118,176,75,519,104
"2744520",107,17,101,62,82,46,407,39
"2744519",100,4,104,69,64,34,224,19
"2483402",73,5,72,45,67,34,174,32
"1670800",2876,257,2712,1629,2821,1500,9483,1720
"1082933",1432,125,1460,842,1338,651,5334,664
"935548",789,73,763,506,746,343,2847,398
"935546",107,15,99,56,96,62,334,33
"682633",717,77,886,470,568,291,1440,264
"278148",186,27,205,100,159,70,657,80
"754035",1062,105,992,630,917,450,3559,515
"536019",1016,83,1022,552,903,467,3513,504
"1777866",809,71,828,465,805,344,3031,469
"763057",78,7,86,56,69,36,315,53
"266835",209,19,223,125,160,81,628,91
"2725666",93,8,64,66,53,32,860,37
"2774562",2408,56,530,912,469,191,4500,298
"374606",2241,210,2026,1249,2293,924,21367,1357
"2666139",510,26,300,284,683,107,1926,260
"83263",723,27,323,374,306,106,2260,160
"266779",6197,2602,20712,2603,1146,689,4396,720
"2599600",2386,231,2427,1395,2276,1238,7210,1347
"1756988",1180,85,1146,705,1076,618,4065,662
"1852022",1781,157,1785,1156,1364,818,3716,625
"1620421",837,73,763,528,609,346,2102,304
"411684",765,66,663,495,553,315,2002,320
"2742145",1370,100,1327,814,973,676,2968,564
"1867719",839,76,817,585,626,389,2480,350
"2718938",496,29,380,333,348,201,1411,163
"2712698",538,48,432,404,395,232,1138,180
"2305987",43,4,42,44,22,22,79,9
"2613769",10462,1207,9853,6803,8784,5956,40086,6170
"384",5446,579,5108,3422,3419,2470,13769,1919
"29449",2081,304,2436,1392,1043,1056,3886,724
"348824",1151,107,857,703,670,494,2656,443
"396",1086,121,909,617,491,378,2401,354
"1312183",1004,101,849,636,645,498,2622,391
"379684",921,115,990,614,857,701,4533,751
"1138189",722,101,683,482,501,417,2065,315
"56730",717,84,855,512,463,371,1618,274
"1138194",676,89,595,467,393,322,1573,263
"293958",666,56,599,475,476,318,2110,305
"1138190",660,86,501,358,330,263,1406,216
"398",615,55,556,380,481,339,2131,295
"1368430",584,52,582,367,669,495,3850,357
"451876",548,52,454,326,2828,540,0,357
"240521",494,72,502,318,511,353,2669,319
"2583231",401,40,396,241,212,176,800,132
"1335061",368,42,378,238,567,491,2041,1032
"1538158",365,47,298,199,206,135,882,124
"2267833",333,36,293,238,340,199,1351,199
"648995",242,74,336,183,248,214,1458,236
"1538159",108,12,109,78,72,57,378,50
"2081791",101,12,89,58,58,47,195,27
"448181",3,2,21,3,15,7,221,25
"1183400",3249,1451,5564,2116,3181,1921,26597,1815
"373",1138,116,1038,848,874,638,4166,603
"2632611",1010,129,1007,590,1221,767,7914,625
"359",684,85,528,348,439,293,2214,285
"28099",416,60,422,284,314,274,1499,256
"160699",383,50,390,248,321,273,1636,310
"1183412",1,0,3,1,7,9,103,6
"399",2125,340,2182,1395,1848,2395,37853,1765
"2629175",1701,263,1852,1010,1528,1619,6961,2703
"1125847",160,8,167,84,298,131,1078,382
"663276",6087,922,7435,3747,3456,3636,11563,2443
"382",4028,2118,16399,2519,16814,48209,28478,0
"2613772",2787,359,2570,1716,3625,1514,16763,3462
"194963",2681,679,5925,2355,965,1054,3252,634
"110321",1140,166,1573,695,1280,2094,4102,1496
"106592",4501,626,4626,3392,2084,1543,8068,1570
"375549",1655,155,1642,1104,1279,1551,4250,825
"2633371",1308,148,1152,1253,815,518,3450,1182
"1752398",1141,124,1144,812,996,786,3358,565
"716925",1031,102,1057,659,825,720,2714,608
"879274",2375,239,2097,1330,13010,1296,65723,5511
"2715959",1698,191,1819,1098,3405,952,17656,5723
"2795690",3237,240,2785,2064,2040,1240,6538,1305
"2341112",1366,123,1366,834,997,637,3790,668
"1969821",1144,113,1161,751,1007,741,4186,631
"1273132",26,1,6,9,11,6,30,3
"1174529",1,0,0,3,0,0,0,0
"658172",10,0,5,2,2,3,9,1
"34020",7,3,4,5,25,34,67,2
"1261131",7,1,14,8,2,7,12,0
"426117",3668,399,4337,2689,1905,1780,3637,635
"2202828",2180,212,2424,1504,1138,949,2413,417
"2603276",1551,181,1760,1051,843,715,1847,292
"2202826",1549,177,1793,1055,735,728,1781,268
"925818",742,76,732,481,335,285,813,131
"2067957",463,77,513,364,294,250,497,109
"1479019",297,44,302,207,164,120,315,36
"739141",113,13,156,88,75,59,147,24
"2696060",1,0,0,0,0,0,0,0
"460265",3457,365,4114,2544,1597,1542,3477,606
"270351",3235,332,3650,2307,1706,1401,3574,613
"2202825",2511,293,2868,1766,1324,1176,2657,487
"2051553",1707,168,1927,1114,804,742,1763,284
"2202827",1626,175,1942,1023,900,688,1697,298
"908290",1590,188,1922,1153,858,767,2005,313
"269660",1443,163,1706,1072,806,698,2066,292
"1775910",1424,158,1649,918,973,619,1547,270
"426355",331,87,402,254,193,165,422,54
"418223",256,31,221,162,107,97,311,30
"693986",77,5,112,60,38,41,89,15
"2807101",5813,2117,16406,6697,2647,9550,10233,3359
"2082949",2311,528,4063,1977,1410,2697,4867,2314
"1882682",6226,2081,16607,6605,2649,7527,8961,2716
"2651334",3209,513,4923,2542,1635,3283,5143,1414
"441620",433,53,451,293,227,188,800,129
"272630",685,223,880,518,387,311,1097,136
"440085",274,68,306,205,145,113,311,66
"419610",198,77,246,162,122,116,265,45
"29429",67,10,66,40,30,27,81,12
"674703",22740,917,9164,14259,6016,3278,9916,1025
"444923",6,1,7,5,4,5,3,2
"1736675",3923,962,4489,2416,6300,3524,46960,3176
"2801335",1192,297,1467,844,3895,1547,12191,2048
"2657486",1156,158,1159,787,2281,1035,9890,1769
"2499144",978,94,1053,588,1283,764,5117,989
"2083786",963,115,770,523,1764,808,13009,1865
"2774137",928,146,966,548,1547,841,7538,1548
"2664417",506,64,478,318,628,391,2367,401
"2759954",426,42,389,264,506,245,2311,487
"400770",1409,229,1742,826,5549,1284,32258,5256
"582899",1699,98,1161,1140,1105,475,4235,334
"670307",1361,114,912,907,795,453,2656,264
"1029756",3132,196,2066,2277,1455,815,8982,532
"717785",1662,92,1081,1055,713,441,2725,280
"2233851",3009,198,2470,1955,1492,1034,3713,536
"1079",2632,165,2146,1743,1216,894,3089,453
"1384459",1368,77,1051,831,776,448,2191,372
"2170729",1320,79,996,723,760,377,2318,373
"2742204",2012,127,1542,1256,1163,662,2830,548
"2820278",2002,157,1681,1278,1116,798,3422,411
"648757",1523,131,1114,1065,791,577,2289,307
"1447062",1386,168,1473,931,1834,1142,7159,1243
"1082931",1,0,0,0,0,1,0,0
"1608628",754,54,587,502,631,279,1520,310
"1219035",551,44,492,383,360,289,1355,174
"1335043",522,59,503,337,743,403,3037,559
"454601",178,16,139,135,98,66,382,59
"331696",7823,395,4444,4933,3509,1852,12484,955
"2562284",5897,318,3756,3566,8838,1445,27059,1630
"2709380",3731,391,3256,2410,1888,1165,5473,698
"639283",3675,261,2810,1954,4484,1321,22514,1111
"1850374",2384,203,2007,1512,1389,878,4333,507
"1745854",1825,151,1597,1196,1050,670,3362,399
"2528964",3436,267,2826,2132,1775,1244,6960,646
"438753",2443,180,2063,1630,1348,987,3878,560
"2789216",2386,196,2223,1638,1319,964,4417,593
"2712222",7105,389,3562,4473,3534,1187,49218,692
"1235591",6772,332,3933,3627,4704,1554,14226,1173
"1482074",2216,160,1961,1417,1423,965,4113,575
"573658",19,4,23,22,31,18,57,6
"134",1471,101,1171,951,866,542,2167,294
"173366",1463,154,1139,1084,739,583,2010,272
"655015",1432,78,1284,1006,729,519,1834,290
"391905",1304,100,1177,922,712,420,1647,266
"187303",820,59,692,562,444,329,1208,179
"595536",1946,153,1651,1164,1008,666,2344,331
"2699395",1555,108,1304,1021,808,640,1985,302
"1349819",1831,171,1908,1187,1249,794,3748,646
"2758041",1467,143,1488,1018,1182,720,3007,545
"2816454",1351,115,1351,944,957,588,2782,456
"1638161",4,0,5,5,2,1,3,3
