"","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"2493093","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium","Bradyrhizobium sp. LCT"," "
"431944","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Magnetospirillum","Magnetospirillum gryphiswaldense","Magnetospirillum gryphiswaldense MSR-"
"634177","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Komagataeibacter","Komagataeibacter medellinensis","Komagataeibacter medellinensis NBRC 328"
"33995","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Komagataeibacter","Komagataeibacter europaeu"," "
"2558360","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Oecophyllibacter","Oecophyllibacter saccharovoran"," "
"2587846","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Roseovarius","Roseovarius sp. THAF"," "
"92947","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Roseobacteraceae","Ketogulonicigenium","Ketogulonicigenium robustu"," "
"314260","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Parvularculales","Parvularculaceae","Parvularcula","Parvularcula bermudensis","Parvularcula bermudensis HTCC250"
"1207504","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia pseudomultivoran"," "
"1637853","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia sp. NRF60-BP"," "
"521","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Alcaligenaceae","Bordetella","Bordetella aviu"," "
"1235827","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum rubrisubalbicans","Herbaspirillum rubrisubalbicans Os3"
"1881017","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. 7SR"," "
"2726956","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. MSPm"," "
"2730847","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. ADAK1"," "
"1898684","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. LPH"," "
"86185","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas lundensi"," "
"50340","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas fuscovagina"," "
"1301098","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas knackmussii","Pseudomonas knackmussii B1"
"46677","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas agaric"," "
"1274359","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sihuiensi"," "
"1421430","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas granadensi"," "
"122355","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas psychrophil"," "
"64187","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas oryzae","Xanthomonas oryzae pv. oryza"
"1619313","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwiniaceae","Duffyella","Duffyella gerundensi"," "
"180957","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Pectobacterium","Pectobacterium brasiliens"," "
"158850","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","Providencia rustigiani"," "
"38313","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella alga"," "
"1630135","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Dermabacteraceae","Dermabacter","Dermabacter vaginali"," "
"401472","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium ureicelerivoran"," "
"79604","cellular organisms","Bacteria","Actinomycetota","Coriobacteriia","Eggerthellales","Eggerthellaceae","Denitrobacterium","Denitrobacterium detoxifican"," "
"37482","cellular organisms","Bacteria","Bacillota","Bacilli","Bacillales","Thermoactinomycetaceae","Laceyella","Laceyella sacchar"," "
"1363","cellular organisms","Bacteria","Bacillota","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Lactococcus garviea"," "
"1932004","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Haloarcula","Haloarcula taiwanensi"," "
"570267","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanocellales","Methanocellaceae","Methanocella","Methanocella paludicol"," "
