"","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"419610","cellular organisms","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Methylobacteriaceae","Methylorubrum","Methylorubrum extorquens","Methylorubrum extorquens PA"
"32009","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia gladioli","Burkholderia gladioli pv. gladiol"
"640081","cellular organisms","Bacteria","Pseudomonadota","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","Azospira oryzae","Azospira oryzae P"
"2706126","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. OIL-"," "
"2726989","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas sp. gcc2"," "
"76760","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas rhodesia"," "
"553151","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Halopseudomonas","Halopseudomonas pelagi"," "
"219572","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas antarctic"," "
"163011","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas lin"," "
"64187","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","Xanthomonas oryzae","Xanthomonas oryzae pv. oryza"
"349967","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","Yersinia mollaretii","Yersinia mollaretii ATCC 4396"
"213554","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas","Halomonas campaniensi"," "
"28084","cellular organisms","Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Legionella","Legionella cherri"," "
"92644","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces malaysiensi"," "
"67260","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces","Streptomyces cinereorube"," "
"556325","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Micrococcaceae","Neomicrococcus","Neomicrococcus aestuari"," "
"1520670","cellular organisms","Bacteria","Actinomycetota","Actinomycetes","Mycobacteriales","Mycobacteriaceae","Mycobacteroides","[Mycobacterium] stephanolepidi"," "
"33035","cellular organisms","Bacteria","Bacillota","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia product"," "
"2214","cellular organisms","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina","Methanosarcina acetivoran"," "
"1903276","cellular organisms","Archaea","Nitrososphaerota"," "," "," ","Candidatus Nitrosotalea","Candidatus Nitrosotalea okcheonensi"," "
"1410606","cellular organisms","Archaea","Nitrososphaerota"," "," "," ","Candidatus Nitrosopelagicus","Candidatus Nitrosopelagicus brevi"," "
"2271","cellular organisms","Archaea","Thermoproteota","Thermoprotei","Thermoproteales","Thermoproteaceae","Thermoproteus","Thermoproteus tena"," "
