"","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7"
"1458461","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Parvibaculaceae","g__Candidatus Phaeomarinobacter","s__ectocarpi"
"664962","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Azospirillum","s__sp. TSH58"
"265959","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Acetobacteraceae","g__Komagataeibacter","s__saccharivorans"
"540747","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Roseovarius","s__indicus"
"311180","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Salipiger","s__pacificus"
"101571","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__ubonensis"
"179879","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__anthina"
"28450","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__pseudomallei"
"1637853","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Burkholderia","s__sp. NRF60-BP8"
"2735433","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__sp. PGU16"
"134537","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__fungorum"
"1761016","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Paraburkholderia","s__caffeinilytica"
"656178","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Pandoraea","s__vervacti"
"2320867","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__sp. K2W31S-8"
"1931241","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__sp. S-6-2"
"364197","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__pohangensis"
"46677","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__agarici"
"549","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Erwiniaceae","g__Pantoea","s__agglomerans"
"2819280","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Chromatiales","f__Ectothiorhodospiraceae","g__Acidihalobacter","s__yilgarnenesis"
"145458","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Microbacteriaceae","g__Rathayibacter","s__toxicus"
"85085","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__chlorophenolicus"
"121292","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Micrococcaceae","g__Pseudarthrobacter","s__sulfonivorans"
"2593973","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Micrococcales","f__Ornithinimicrobiaceae","g__Ornithinimicrobium","s__pratense"
"126673","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Corynebacteriales","f__Mycobacteriaceae","g__Mycolicibacterium","s__doricum"
"1661","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Actinomycetales","f__Actinomycetaceae","g__Trueperella","s__pyogenes"
"49283","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Paenibacillus","s__thiaminolyticus"
"186192","k__Bacteria","p__Deinococcus-Thermus","c__Deinococci","o__Thermales","f__Thermaceae","g__Marinithermus","s__hydrothermalis"
"2509675","k__Bacteria","p__Chloroflexi","c__Ktedonobacteria","o__Ktedonobacterales","f__Ktedonosporobacteraceae","g__Ktedonosporobacter","s__rubrisoli"
"1005039","k__Bacteria","p__Armatimonadetes","c__Fimbriimonadia","o__Fimbriimonadales","f__Fimbriimonadaceae","g__Fimbriimonas","s__ginsengisoli"
"125","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__Pirellula","s__staleyi"
"128","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Isosphaerales","f__Isosphaeraceae","g__Isosphaera","s__pallida"
"2703788","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Acidobacteriaceae","g__Edaphobacter","s__sp. 12200R-103"
"1353260","k__Archaea","p__Thaumarchaeota","c__Nitrososphaeria","o__Nitrososphaerales","f__Nitrososphaeraceae","g__Candidatus Nitrosocosmicus","s__oleophilus"
