"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"739141",3.09406667674523e-05,3.80887929484357e-05,2.88688859585736e-05,2.98410546067426e-05,1.85974863789226e-05,3.12885836513728e-05,3.46013746881507e-05,3.1858131915604e-05,2.87694831734965e-05,2.67881060809001e-05,1.90852897743403e-05,"v_190",42,2.56075388594402e-05,3474.11486520543
"419610",5.79647934377587e-05,4.69466517736534e-05,5.50729516748173e-05,5.16250244696648e-05,3.35260808871735e-05,5.81772102267713e-05,5.76689578135846e-05,4.71500352350939e-05,4.67983592955543e-05,6.29520492901152e-05,3.57849183268881e-05,"v_210",121,2.48379324904995e-05,3061.2413854306
"65958",3.95570549811732e-05,4.25177223610446e-05,4.0416440342003e-05,4.59552240943837e-05,3.40321349383006e-05,4.37551286999667e-05,4.82322192622707e-05,3.9822664894505e-05,4.33460213147347e-05,4.91115278149835e-05,2.2266171403397e-05,"v_529",37,2.47604427167158e-05,3860.72084301587
"33995",3.68154769131711e-05,3.45456494183487e-05,3.41985264432333e-05,4.83425084629231e-05,3.2007918733792e-05,3.8377403384887e-05,4.57856574156338e-05,5.51145682139949e-05,3.79757177890154e-05,3.92892222519868e-05,2.38566122179254e-05,"v_530",38,2.46426811237063e-05,4850.62965813907
"2558360",5.44399073503275e-05,4.60608658911316e-05,5.90701820383121e-05,6.80376045033732e-05,3.89661619367903e-05,5.52439055094551e-05,4.50866397451661e-05,5.70260561289311e-05,4.8716324840454e-05,6.38449861594785e-05,3.81705795486806e-05,"v_563",52,2.48447204968944e-05,4534.17263408103
"1389004",6.10980255154754e-05,4.51750800086098e-05,5.32964048465974e-05,5.43107193842716e-05,4.60509186525704e-05,4.64439913575065e-05,4.89312369327384e-05,5.06544297458103e-05,4.94835110584139e-05,5.93803018126618e-05,3.73753591414164e-05,"v_604",59,2.49507223234113e-05,3517.62793474031
"666509",2.15409705343022e-05,3.49885423596096e-05,2.70923391303537e-05,2.6558538600001e-05,2.1380783660122e-05,3.07996995318201e-05,2.97082509948769e-05,2.54865055324832e-05,2.37827727567571e-05,2.63416376462184e-05,1.27235265162269e-05,"v_698",50,2.56232864427191e-05,2144.8290272985
"2582913",6.85394517000526e-05,7.30773353080453e-05,6.92853263005766e-05,8.35549528988794e-05,5.47803510345136e-05,7.03993132155889e-05,6.39601168477938e-05,8.12382363847902e-05,6.75123871804717e-05,7.18814179837485e-05,4.77132244358508e-05,"v_775",37,2.33612110451806e-05,874.528097911527
"488446",3.05490127577377e-05,3.32169705945661e-05,3.86398935137831e-05,4.17774764494397e-05,2.20133512240309e-05,3.8377403384887e-05,3.53003923586184e-05,3.31324571922281e-05,3.83593108979953e-05,3.88427538173051e-05,1.19283061089627e-05,"v_912",46,2.5174332250837e-05,3051.33585041951
"1855726",8.49889201080652e-05,9.38933035473067e-05,0.000104816262864975,0.000115783291874161,5.78166753412765e-05,0.000116354420453543,9.12218059960338e-05,9.43000704701878e-05,8.89936012833491e-05,8.21501919814269e-05,5.48702081012284e-05,"v_917",50,2.30632625291174e-05,3896.64801592225
"1795874",3.32905908257398e-05,4.0746150596001e-05,3.37543897361784e-05,4.89393295550579e-05,2.41640809413213e-05,3.59329827871235e-05,3.35528481824492e-05,3.05838066389798e-05,3.18382280453361e-05,3.25921957317618e-05,1.3518746923491e-05,"v_927",84,2.53716953366824e-05,4310.91798631444
"1385592",7.87224559526318e-05,0.000102751162372524,0.00010170730591559,9.84754802022507e-05,3.83335943728814e-05,0.00011317667367645,8.73772088084615e-05,8.44240495763506e-05,6.98139458343515e-05,7.90249129386552e-05,3.65801387341523e-05,"v_936",68,2.32986183919294e-05,3550.05773299603
"977880",1.95827004857293e-05,2.2144647063044e-05,1.73213315751442e-05,6.89328361415755e-05,1.16392431759244e-05,1.53998497659101e-05,1.29318269036523e-05,1.84777165110503e-05,1.07406070514387e-05,2.41092954728101e-05,9.54264488717015e-06,"v_948",63,2.59645843070052e-05,3622.43731896599
"1537274",3.95570549811732e-05,3.89745788309575e-05,4.1748850463168e-05,4.35679397258443e-05,3.89661619367903e-05,4.10662660424268e-05,4.05430248871261e-05,2.64422494899513e-05,2.87694831734965e-05,2.81275113849451e-05,1.98805101816045e-05,"v_1131",39,2.4918392265331e-05,446.849888566452
"2808899",3.13323207771669e-05,2.39162188280876e-05,2.30951087668589e-05,3.99870131730351e-05,1.75853782766684e-05,2.83552789340566e-05,3.25043216767477e-05,2.35750176175469e-05,2.80022969555366e-05,1.91981426913117e-05,1.90852897743403e-05,"v_1132",35,2.58037879960778e-05,4512.89439005389
"2823875",3.25072828063106e-05,3.32169705945661e-05,3.33102530291234e-05,3.16315178831472e-05,1.82179458405773e-05,2.34664377385296e-05,4.61351662508677e-05,3.1858131915604e-05,3.33726004812559e-05,3.57174747745334e-05,1.82900693670761e-05,"v_1336",66,2.56752593201191e-05,1849.77577199258
"1573712",2.85907427091648e-05,2.79022552994355e-05,2.53157923021338e-05,2.71553596921358e-05,2.1380783660122e-05,2.39553218580823e-05,2.69121803130061e-05,2.07077857451426e-05,2.68515176285967e-05,2.05375479953567e-05,1.11330857016985e-05,"v_1343",44,2.56653748427996e-05,956.038089688228
"29442",4.38652490880336e-05,4.4732187067349e-05,3.46426631502883e-05,5.31170772000019e-05,2.47966485052302e-05,4.27773604608613e-05,5.55719048021815e-05,3.59996890646325e-05,3.49069729171757e-05,5.00044646843468e-05,2.38566122179254e-05,"v_1437",84,2.51990726741256e-05,1862.99123870841
"1301098",6.18813335349046e-05,4.0746150596001e-05,5.01874478972126e-05,3.87933709887654e-05,2.34049998646305e-05,4.35106866401903e-05,7.4794890740043e-05,8.44240495763506e-05,3.2605414263296e-05,3.66104116438968e-05,3.18088162905672e-05,"v_1474",63,2.49388996957454e-05,3871.25554161929
"237609",7.71558399137734e-05,7.92778364856977e-05,9.41569818956554e-05,7.19169416022498e-05,6.19916212630755e-05,7.69992488295503e-05,0.000124425145343249,8.15568177039462e-05,7.05811320523114e-05,7.58996338958836e-05,7.63411590973612e-05,"v_1482",54,2.34252383518002e-05,874.330715578557
"1148509",4.42569030977482e-05,2.9673827064479e-05,3.73074833926182e-05,4.98345611932602e-05,2.77064592992113e-05,4.57106651781775e-05,6.5707661023963e-05,4.30084780860654e-05,3.49069729171757e-05,4.33074381641218e-05,1.74948489598119e-05,"v_1501",73,2.52729478366357e-05,5319.14832854268
"2505979",2.78074346897356e-05,2.92309341232181e-05,3.33102530291234e-05,3.67044971662935e-05,1.97361079939587e-05,3.20219098307019e-05,4.50866397451661e-05,2.35750176175469e-05,3.75921246800354e-05,2.76810429502634e-05,1.27235265162269e-05,"v_1513",36,2.56568144499179e-05,4015.07328077705
"47884",3.44655528548836e-05,2.9673827064479e-05,4.53019441196078e-05,3.34219811595518e-05,3.39056214255188e-05,3.73996351457816e-05,4.43876220746984e-05,2.93094813623557e-05,3.52905660261557e-05,3.75033485132601e-05,2.30613918106612e-05,"v_1514",38,2.54123148077558e-05,3631.71331175695
"158836",5.28732913114691e-05,5.53616176576101e-05,7.15060098358515e-05,4.20758869955071e-05,4.09903781412989e-05,5.45105793301261e-05,7.16493112229384e-05,5.44774055756828e-05,5.29358490392335e-05,5.00044646843468e-05,3.18088162905672e-05,"v_1743",73,2.47017266506929e-05,4671.5539318984
"1134687",3.8773746961744e-05,4.8275330597436e-05,4.61902175337177e-05,4.62536346404511e-05,0,4.52217810586248e-05,5.6620431307883e-05,0,4.25788350967748e-05,4.50933119028485e-05,2.78327142542463e-05,"v_1789",56,2.45025972753112e-05,172.778731171638
