"","AYtCM2TOMPOOA100360.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2725558",3.55794779395833e-05,4.86650593803018e-05,5.55719048021815e-05,4.93402699848968e-05,4.99232817365405e-05,5.68494985030372e-05,5.70843926879284e-05,5.66103603249435e-05,3.3588577816553e-05,5.17872137369284e-05,4.29419019922657e-05,"v_436",73,2.53453301229249e-05,2618.44858179588
"2018065",7.7316942445633e-05,7.05420126797035e-05,9.26198413369692e-05,3.99782700390446e-05,5.72566451554673e-05,8.39418376333909e-05,6.49883855216416e-05,5.57117831769285e-05,5.2535980687429e-05,5.95216677365995e-05,3.18088162905672e-05,"v_520",119,2.47573776985542e-05,4396.20983850933
"207340",0.000100352373675748,6.60773283328869e-05,8.59791734675261e-05,4.69365132420429e-05,6.12053793041202e-05,7.77239237346212e-05,8.03572604760838e-05,5.93060917689884e-05,6.07178137453073e-05,5.21234943456097e-05,3.1013595883303e-05,"v_522",74,2.41237063662461e-05,604.723180037196
"265960",6.13517920881276e-05,5.62550227698902e-05,6.1164046165923e-05,4.26350538074621e-05,5.72566451554673e-05,6.88411895935216e-05,5.97190569658328e-05,5.4363917454906e-05,4.22010336669512e-05,5.48137392150605e-05,3.49896979196239e-05,"v_527",113,2.49482324177332e-05,1836.63930930408
"65958",3.90005815876202e-05,4.91115278149835e-05,4.82322192622707e-05,3.40321349383006e-05,4.99232817365405e-05,4.0416440342003e-05,6.806216051253e-05,4.22331259567039e-05,3.14354638539534e-05,4.94332494761589e-05,2.2266171403397e-05,"v_529",60,2.53498276211722e-05,873.651769938416
"1510841",3.85444344345486e-05,3.83962853826234e-05,4.61351662508677e-05,3.2007918733792e-05,3.52565548986868e-05,5.28522681395424e-05,4.56675141503427e-05,3.72909516426215e-05,3.05742182689136e-05,4.33801985198945e-05,2.38566122179254e-05,"v_566",60,2.55128074293295e-05,1971.29016544057
"2587846",4.40182002714076e-05,5.49156174658452e-05,5.87174843192861e-05,4.06108376029535e-05,5.21797012500564e-05,6.75087794723567e-05,4.17155177334861e-05,5.16681860108611e-05,4.69378843846702e-05,5.34686167803351e-05,4.37371223995299e-05,"v_614",82,2.5206694898165e-05,1065.28208952881
"114277",1.61932239340411e-05,2.23234217340834e-05,1.46793710798215e-05,1.34104323548694e-05,2.228214269597e-05,1.24358277975394e-05,1.3612432102506e-05,2.78558915884642e-05,1.46411749456769e-05,3.59820251289048e-05,1.03378652944343e-05,"v_763",45,2.67372530146253e-05,1401.52198544406
"2582913",5.3369216909375e-05,7.18814179837485e-05,6.39601168477938e-05,5.47803510345136e-05,6.54361658919626e-05,6.92853263005766e-05,7.55270426332591e-05,8.62634062094377e-05,5.03828667248295e-05,7.19640502578095e-05,4.77132244358508e-05,"v_775",96,2.45923812802794e-05,3918.12743127651
"32009",4.28778323887286e-05,4.91115278149835e-05,4.92807457679723e-05,2.89715944270292e-05,5.21797012500564e-05,5.10757213113225e-05,6.01581676788169e-05,6.20018232130333e-05,4.47847704220706e-05,5.27960555629724e-05,3.26040366978314e-05,"v_944",115,2.54006959790698e-05,3600.08067455836
