"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1479019",7.66004517064522e-05,9.69145918133601e-05,7.39108660442013e-05,3.98517565262628e-05,6.79286829536333e-05,7.04248888719126e-05,8.85098490794751e-05,7.55032401993463e-05,6.29092698727123e-05,7.30881758731287e-05,5.16747351023892e-05,"v_189",140,2.47524752475248e-05,2783.39714270185
"440085",6.27651278299564e-05,0.000149777096438829,6.43534264695201e-05,3.93457024751357e-05,6.15393513886876e-05,6.20693935820247e-05,6.29004003610483e-05,7.15060098358515e-05,5.56210008020932e-05,6.11105149440875e-05,4.86603755547498e-05,"v_209",66,2.47023368410652e-05,614.708900871134
"419610",6.7489384763394e-05,0.00016960053567338,4.71500352350939e-05,3.35260808871735e-05,4.47253209546199e-05,5.16250244696648e-05,6.46975546570782e-05,5.50729516748173e-05,4.67983592955543e-05,5.81772102267713e-05,4.99522439323095e-05,"v_210",93,2.48595435787799e-05,1899.882431522
"207340",6.88391724586619e-05,5.94703177036528e-05,5.09730110649664e-05,4.69365132420429e-05,5.21234943456097e-05,5.6698003752811e-05,5.93060917689884e-05,7.77239237346212e-05,5.48538145841333e-05,6.7710450558049e-05,6.07178137453073e-05,"v_522",44,2.47304382233653e-05,507.49278247474
"634177",5.77034239727019e-05,4.84572959066801e-05,4.71500352350939e-05,3.01102160420652e-05,5.24597749542911e-05,5.55043615685413e-05,4.44795688267413e-05,5.01874478972126e-05,3.60577522441156e-05,4.71773175368356e-05,2.54067447586747e-05,"v_528",68,2.57095845331139e-05,903.496497366392
"2592655",4.15059716294873e-05,2.422864795334e-05,3.9822664894505e-05,2.94776484781563e-05,3.69908669549488e-05,4.50599924561814e-05,3.95373945126589e-05,4.1748850463168e-05,4.44968006416745e-05,3.71551930860052e-05,3.22967094389932e-05,"v_539",75,2.63268744734625e-05,3167.09099168114
"215743",2.96953292958934e-05,1.32156261563673e-05,2.45307615750151e-05,1.87239998917044e-05,1.98405559121998e-05,2.11871487707873e-05,2.47108715704118e-05,1.73213315751442e-05,2.07140278849175e-05,2.59108583362931e-05,2.02392712484358e-05,"v_619",44,2.69331250504996e-05,3700.99031327882
"681157",1.68723461908485e-05,1.76208348751564e-05,9.87602089383723e-06,1.10066756120154e-05,6.38933156494571e-06,1.19364218426971e-05,1.16815029241947e-05,1.19916910904844e-05,9.58982772449883e-06,1.27109871083702e-05,9.04307864291811e-06,"v_637",38,2.6906312220847e-05,3270.18035316585
"655307",5.6016189353617e-05,4.4052087187891e-05,4.14155714902852e-05,2.87185674014656e-05,4.06899536504437e-05,4.14790659033723e-05,5.12188974368536e-05,3.64192099785082e-05,4.33460213147347e-05,4.52217810586248e-05,3.53110689866326e-05,"v_1243",54,2.54491779915509e-05,995.238839549074
"2749999",7.76127924779031e-05,5.94703177036528e-05,4.07784088519731e-05,3.0869297118756e-05,3.76634281723115e-05,4.74472768247208e-05,5.66103603249435e-05,5.37405415536524e-05,4.33460213147347e-05,4.3266244580414e-05,4.47847704220706e-05,"v_1321",103,2.57281053823196e-05,3224.08278206633
"1173270",1.41727708003127e-05,2.20260435939455e-06,2.86723187240436e-06,2.15072971729037e-06,1.68140304340676e-06,4.4761581910114e-06,4.49288574007488e-06,7.10618731287965e-06,3.06874487183962e-06,5.13328325530335e-06,2.15311396259955e-06,"v_1389",41,2.65703050271017e-05,4168.22969108689
"29442",7.22136416968316e-05,1.98234392345509e-05,3.59996890646325e-05,2.47966485052302e-05,4.37164791285759e-05,5.31170772000019e-05,4.35809916787263e-05,3.46426631502883e-05,3.49069729171757e-05,4.27773604608613e-05,3.57416917791525e-05,"v_1437",80,2.62006445358556e-05,2695.18844831587
