"","cSObM2TOMPOOM080315.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"419610",4.67983592955543e-05,4.47253209546199e-05,5.61060998278045e-05,0.00016960053567338,5.82848757134907e-05,6.46975546570782e-05,3.57849183268881e-05,4.99522439323095e-05,4.71500352350939e-05,5.50729516748173e-05,6.7489384763394e-05,"v_210",66,2.58631837579206e-05,1222.86971264757
"33995",3.79757177890154e-05,3.90085506070369e-05,4.19655380825854e-05,1.76208348751564e-05,6.22769904883873e-05,4.71753002707862e-05,2.38566122179254e-05,3.05742182689136e-05,5.51145682139949e-05,3.41985264432333e-05,4.11685247056704e-05,"v_530",64,2.72457292319429e-05,2506.70221488031
"391595",4.33460213147347e-05,3.19466578247285e-05,4.88077453786592e-05,3.52416697503128e-05,4.87038002537388e-05,4.80738774188012e-05,4.21466815850015e-05,3.87560513267919e-05,4.39642220435335e-05,5.41846782607074e-05,4.42055470200231e-05,"v_663",64,2.69723533378287e-05,3689.53141025087
"1795043",4.94835110584139e-05,5.48137392150605e-05,4.37901266948718e-05,7.26859438600201e-05,4.23164166139042e-05,6.73932861011232e-05,2.78327142542463e-05,3.61723145716724e-05,4.74686165542499e-05,5.68494985030372e-05,6.07404462870546e-05,"v_925",86,2.66106069879454e-05,2410.28525778082
"1267562",2.30155865387972e-05,6.12030707800062e-05,2.85091970669738e-05,1.54182305157618e-05,0.000171660935320555,4.58274345487638e-05,2.30613918106612e-05,3.91866741193118e-05,3.34510385113842e-05,3.99723036349481e-05,8.16621555637068e-05,"v_956",77,2.63796560092856e-05,343.213141416744
"876364",2.22484003208373e-05,2.79112905205523e-05,3.05618592557959e-05,3.96468784691019e-05,3.27353411541523e-05,3.18994887545316e-05,1.59044081452836e-05,2.8421104306314e-05,2.64422494899513e-05,2.88688859585736e-05,4.15059716294873e-05,"v_957",79,2.78411938303914e-05,3496.54950582131
"2771360",1.72616899040979e-05,4.23713566938505e-05,2.80530499139022e-05,3.08364610315237e-05,0.000118965020291919,3.8638817364644e-05,2.30613918106612e-05,1.8947402870876e-05,2.48493428941711e-05,3.06454327867935e-05,4.75800162581928e-05,"v_958",63,2.69701709908841e-05,351.396484186775
"2049589",4.52639868596345e-05,2.55573262597828e-05,3.17022271384749e-05,4.62546915472855e-05,0.000133336633481547,5.21174745848686e-05,3.49896979196239e-05,4.22010336669512e-05,3.85483396178808e-05,5.24081314324874e-05,8.70613063447783e-05,"v_1322",78,2.63483782573183e-05,1911.46594836895
"2320270",3.52905660261557e-05,4.67430046067081e-05,4.01409494702991e-05,2.64312523127346e-05,0.00010619025301225,3.95373945126589e-05,2.86279346615105e-05,3.27273322315131e-05,3.44067824688523e-05,4.35253972913879e-05,6.88391724586619e-05,"v_1324",118,2.71532529597046e-05,3473.06318835669
"1758730",9.58982772449883e-06,1.17698213038474e-05,1.18598259798611e-05,1.10130217969727e-05,1.91621509195038e-05,9.88434862816473e-06,7.95220407264179e-06,7.75121026535838e-06,1.14689274896174e-05,1.37682379187043e-05,2.2946390819554e-05,"v_1360",51,2.83728188395517e-05,3055.26881675664
"658629",8.43904839755897e-06,6.38933156494571e-06,1.07194580971822e-05,6.60781307818364e-06,2.55495345593384e-05,9.88434862816473e-06,4.77132244358508e-06,7.32058747283847e-06,1.14689274896174e-05,1.24358277975394e-05,2.12591562004691e-05,"v_1365",67,2.87802912565475e-05,3897.12082434282
"47883",7.40334700331309e-05,5.38048973890165e-05,8.39310761651709e-05,7.92937569382037e-05,0.00015409563031101,7.99733661733328e-05,5.48702081012284e-05,7.27752519358648e-05,7.45480286825133e-05,8.2609427512226e-05,0.000135316216450605,"v_1430",92,2.52659238485055e-05,2389.30724770863
"46679",3.52905660261557e-05,2.95926935639591e-05,4.7895451072516e-05,3.74442741097073e-05,6.70675282182633e-05,5.07696088628461e-05,2.46518326251896e-05,3.40192006090729e-05,3.09023879581359e-05,3.99723036349481e-05,6.24276809061395e-05,"v_1434",127,2.74175417432073e-05,2995.64307797425
"384676",6.02241181098526e-05,5.85128259105554e-05,7.27554709149172e-05,9.03067787351765e-05,0.00017724989600541,7.23354604152055e-05,7.15698366537761e-05,5.12441123098693e-05,7.23179594484211e-05,8.2609427512226e-05,0.000129579618745717,"v_1476",53,2.50789988463661e-05,931.954267176552
"104087",7.01975389433314e-05,6.25481932147316e-05,0.000101264667981891,8.36989656569928e-05,0.000144514554851258,9.52491776895874e-05,4.13514611777373e-05,5.85646997827077e-05,6.81764022993925e-05,8.88273414109957e-05,0.000137678344917324,"v_1481",128,2.53543267158541e-05,3662.81252721218
"364197",6.06077112188326e-05,4.40527597372572e-05,6.50009693127003e-05,6.16729220630473e-05,0.000182838856690265,7.4581903285243e-05,4.93036652503791e-05,5.94259453677476e-05,6.08490319588036e-05,8.1277017391061e-05,0.000126205149507547,"v_1486",147,2.57406883060053e-05,3325.67380036619
"1853130",3.37561935902359e-05,3.90085506070369e-05,4.51585681540865e-05,5.72677133442582e-05,7.50517577680565e-05,4.71753002707862e-05,2.78327142542463e-05,2.8851727098834e-05,3.53625264263204e-05,4.0416440342003e-05,7.35634293920995e-05,"v_1503",102,2.71864720115271e-05,2579.47080949376
