"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"488729",7.85612897899617e-05,6.74345114046824e-05,8.78674040318972e-05,8.85931117643843e-05,9.39196665208553e-05,8.39555247816825e-05,"v_955",77,3.00525920360631e-05,4924.495416288
"1247726",6.43581187544884e-05,3.15650904447449e-05,3.64987678286342e-05,3.7429916520515e-05,2.57314154851658e-05,3.49078234618575e-05,"v_1122",56,3.22113061684651e-05,2581.75270727642
"2584944",7.36789497465178e-05,9.18257176574399e-05,0.000108144497270027,8.85931117643843e-05,7.59076756812392e-05,7.73274570357602e-05,"v_1150",57,3.05008235222351e-05,2591.06429407622
"539",5.68126841418932e-05,3.65868093791362e-05,6.21830859302657e-05,4.01227162701923e-05,3.73105524534905e-05,2.82797557159352e-05,"v_1277",55,3.20944861672765e-05,4386.94579915679
"2033438",2.84063420709466e-05,3.15650904447449e-05,9.46264351112739e-06,1.07711989987093e-05,7.71942464554975e-06,5.74432537979933e-06,"v_1956",52,3.26285565126599e-05,3505.09843703044
"1874317",4.30533622012785e-05,2.51085946719562e-05,4.86650237715123e-05,4.01227162701923e-05,2.57314154851658e-05,3.04891116312426e-05,"v_2374",53,3.19580710108338e-05,1228.12427415858
"1704499",3.63956257784004e-05,2.869553676795e-05,2.97397367492575e-05,3.09671971212894e-05,2.70179862594241e-05,3.00472404481811e-05,"v_2548",51,3.3364473508608e-05,4817.30059344076
"296842",7.27912515568007e-05,7.17388419198749e-05,7.16457294413931e-05,0.000114982549311222,7.07613925842061e-05,7.99786841341291e-05,"v_2798",56,3.07607124180996e-05,4723.45113452063
"2358",5.19303440984493e-05,3.94563630559312e-05,5.1368636203263e-05,5.11631952438694e-05,2.70179862594241e-05,4.24196335739027e-05,"v_2859",69,3.24433053239464e-05,4549.42916880884
"404941",6.39142696596299e-05,6.81518998238811e-05,9.05710164636479e-05,7.59369529409009e-05,5.78956848416231e-05,9.41185619920967e-05,"v_3394",62,3.05483427524057e-05,2819.35394290135
"79263",5.45934386676005e-05,6.31301808894899e-05,7.57011480890191e-05,6.4627193992256e-05,6.04688263901397e-05,9.50023043582197e-05,"v_3948",73,3.09377223648795e-05,4910.34250870006
"1401",6.03634769007616e-05,5.73910735358999e-05,5.5424054850889e-05,0.00010690415006219,0.000106785374263438,9.63279179074041e-05,"v_3962",53,2.98489642409408e-05,4038.25779362664
"39152",3.10694366400979e-06,4.30433051519249e-06,4.05541864762603e-06,6.19343942425787e-06,3.85971232277488e-06,4.86058301367635e-06,"v_5382",55,3.12998841904285e-05,4351.01522449082
"1959104",2.66309456915124e-06,4.30433051519249e-06,5.40722486350137e-06,5.6548794743224e-06,0,1.90004608716439e-05,"v_5407",48,3.19529652351738e-05,4764.91512803434
"1580092",2.66309456915124e-06,4.30433051519249e-06,8.11083729525205e-06,5.11631952438694e-06,0,1.7232976139398e-05,"v_5410",48,3.18471337579618e-05,3408.51721134055
"10454",9.80906499637375e-05,4.87824125055149e-05,8.11083729525205e-05,0.000111212629661674,0,7.20250028390224e-05,"v_6051",72,3.0389594602808e-05,2552.88684183223
