"","oAVVM2CHIPOOB051360.extra.kraken2.report","X3xfYM2CHIPOOA051365.extra.kraken2.report","jYxWM2CHIPOOB051110.extra.kraken2.report","hoQoM2CHIPOOA051115.extra.kraken2.report","j1iWM2CHIPOOBXX1561.extra.kraken2.report","eBCjM2CHIPOOBXX1180.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"680",9.32083099202936e-06,9.32604944958374e-06,9.46264351112739e-06,1.26561588234835e-05,5.14628309703317e-06,1.10467795765372e-05,"v_2556",84,3.46080636788372e-05,360503.749936858
"1354302",1.37593219406148e-05,1.21956031263787e-05,1.75734808063794e-05,1.58875185230963e-05,1.02925661940663e-05,1.41398778579676e-05,"v_2327",82,3.47475589839814e-05,251271.09875029
"33028",2.66309456915124e-06,3.58694209599374e-06,1.35180621587534e-06,4.039199624516e-06,1.28657077425829e-06,5.30245419673784e-06,"v_4028",82,3.11284046692607e-05,233963.184502154
"2500132",1.33154728457562e-06,0,1.35180621587534e-06,3.76991964954827e-06,0,1.76748473224595e-06,"v_1778",41,2.76762980183771e-05,223693.733779154
"470933",2.2192454742927e-06,1.4347768383975e-06,2.70361243175068e-06,3.2313596996128e-06,1.28657077425829e-06,3.09309828143041e-06,"v_2027",55,3.01695528872262e-05,215092.329721833
"1623295",1.77539637943416e-06,7.17388419198749e-07,1.35180621587534e-06,1.88495982477413e-06,0,1.76748473224595e-06,"v_5566",31,2.74551794195975e-05,208629.842414256
"2733155",4.43849094858541e-06,4.30433051519249e-06,5.40722486350137e-06,5.38559949935467e-06,1.28657077425829e-06,6.18619656286082e-06,"v_5585",72,3.20051208193311e-05,208570.346398451
"2627481",1.77539637943416e-06,2.869553676795e-06,0,2.4235197747096e-06,0,1.32561354918446e-06,"v_4586",43,2.74175417432073e-05,182379.563078428
"2003316",1.77539637943416e-06,1.4347768383975e-06,1.35180621587534e-06,2.4235197747096e-06,0,2.20935591530743e-06,"v_2467",62,2.87918922031556e-05,179616.081612306
"1632019",7.10158551773665e-06,5.73910735358999e-06,6.75903107937671e-06,7.80911927406427e-06,2.57314154851658e-06,4.41871183061487e-06,"v_5136",73,3.32358415315076e-05,179481.825493918
"129958",8.87698189717082e-06,8.60866103038499e-06,1.08144497270027e-05,1.13097589486448e-05,7.71942464554975e-06,1.7232976139398e-05,"v_4457",74,3.42700479780672e-05,178397.480154198
"529709",3.10694366400979e-06,2.869553676795e-06,1.35180621587534e-06,6.73199937419334e-06,2.57314154851658e-06,3.53496946449189e-06,"v_5353",65,3.11264668347496e-05,177010.425971119
