"","cuu6M2TOMPOOB051315.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"63561",0.000153136717798403,0.000128881845906916,0.000161221624660957,0.000128913355901128,4.71895402676064e-05,0.000117576630752424,0.000147842237303917,9.5892977065968e-05,8.70756357384493e-05,0.000137512277881954,4.93036652503791e-05,"v_2849",377,2.29326239508325e-05,45032.0470696678
"2587849",0.000128462515186384,0.000126667381200612,0.000131464465288274,0.000122049913341577,7.45164590284724e-05,0.000121487703708846,0.000146793710798215,0.000117556506768579,0.000112009187822146,0.000127689972318957,8.90646856135881e-05,"v_2219",374,2.2822713164141e-05,36247.9201750561
"1297617",9.86968104480757e-05,7.17486564842627e-05,0.00010526039957203,8.14660790764074e-05,3.0236729554847e-05,6.96659870362598e-05,9.43673855131384e-05,5.51145682139949e-05,4.98671041673939e-05,8.66148763282436e-05,3.33992571050955e-05,"v_4324",373,2.43783520234032e-05,49703.0603231636
"156978",9.16470382732131e-05,7.39631211905671e-05,9.90424856732602e-05,6.2964625220227e-05,4.11168916540807e-05,7.16215235144706e-05,0.000102056579888283,6.08490319588036e-05,4.83327317314741e-05,7.99178498080186e-05,3.65801387341523e-05,"v_3490",370,2.43795406894534e-05,51575.7418521298
"1897729",0.000182902422536712,0.000154126743558787,0.000172325042337332,0.000169198779620231,9.57707291758125e-05,0.000150087424702679,0.000171958346935052,0.000144635918896842,0.000130805250162164,0.000171443878917761,0.000100197771315287,"v_2241",367,2.22513962751163e-05,27410.0381395075
"243233",0.000230684211721891,0.000199301823567396,0.000244719325587293,0.000198741423680906,0.000117910593912625,0.000192375901043988,0.000243258149322757,0.000158972078258864,0.000153053650483001,0.000206714885257612,8.74742447990597e-05,"v_2525",364,2.15735766832783e-05,23923.3834591897
"853",0.000214234743313879,0.000193101322389744,0.000228286267426259,0.000172481295626972,9.3746512971304e-05,0.000159131780914404,0.000226481725231532,0.000156742009024772,0.000144998195194422,0.000179480310742031,7.63411590973612e-05,"v_4331",364,2.19760900140647e-05,33181.9752829603
"33010",0.000155094987846976,0.000144383098851047,0.000192311194154806,0.000109815080952813,5.50333780600772e-05,0.00012857652344236,0.000160774064207569,0.000104176091364025,9.09115668282489e-05,0.000132601125100455,5.40749876939642e-05,"v_3683",363,2.26988991033935e-05,29989.8131311291
"2619321",9.39969623315007e-05,7.35202282493062e-05,9.10480249462706e-05,6.44566779505641e-05,2.11277566345584e-05,6.25771673027457e-05,7.79404702571476e-05,5.16101737032785e-05,3.52905660261557e-05,7.67925707652469e-05,3.33992571050955e-05,"v_4680",363,2.45923812802794e-05,33473.7184864186
"345632",0.000263191494528202,0.00022631829298431,0.00030068055067622,0.000213960361530345,7.4136918490127e-05,0.000205331330212134,0.000284849700715584,0.000194016023366028,0.000187577030291197,0.000262076971158139,8.27029223554747e-05,"v_2828",361,2.12974400477063e-05,21755.0215843336
"182210",0.000138253865429249,0.000115152164727829,0.000142567882964648,0.000126526071532589,5.22500807788779e-05,0.000109510042779805,0.000140153042928772,0.000102901766087401,9.55146841360083e-05,0.00011518885614787,5.80510897302851e-05,"v_2860",361,2.32828870779977e-05,31469.2919996199
"899",0.00015117844774983,0.000116480843551612,0.000119472774197789,0.000117573755150566,6.54074861081837e-05,0.000111954463377568,0.000130716304377458,9.43000704701878e-05,8.43904839755897e-05,0.000144209304402179,5.56654285084926e-05,"v_2870",357,2.33111100750618e-05,34908.1937754991
"2678688",0.000106921544652082,0.000111609021197742,0.000118584500783679,9.69834274719136e-05,5.03523780871511e-05,9.36213088943421e-05,0.000117085459803338,8.37868869380385e-05,7.63350286870107e-05,0.000109384766497009,3.18088162905672e-05,"v_2861",356,2.39555385205059e-05,94238.5983644318
"873",0.000230292557712177,0.000199744716508657,0.000232283497789754,0.000186506591292142,8.88124859728143e-05,0.000181620450413828,0.000224035163384895,0.000167573773876077,0.000168013781733219,0.000221001875167426,9.22455672426448e-05,"v_2865",356,2.1691032926988e-05,29781.6708144473
"1040979",0.000121804397021236,0.000102751162372524,0.000115031407127239,0.000113992828597757,8.61557022043968e-05,0.000102421223046291,0.000114638897956701,9.5574395746812e-05,7.24990975972111e-05,0.000108491829627645,6.04367509520776e-05,"v_960",355,2.36356330804321e-05,34326.6199410063
"641491",0.000219717899449883,0.000179814534151918,0.000179875366357266,0.000152786199586522,7.18596752600549e-05,0.000147398562045139,0.000189783297531978,0.000149733220003339,0.000127736505290324,0.000175908563264577,5.88463101375493e-05,"v_2859",354,2.2277172581256e-05,39217.7970404438
"1628392",6.8147797690338e-05,6.51052623653495e-05,7.19501465429065e-05,6.02789303056201e-05,4.20024862435532e-05,6.30660514222983e-05,6.81542228705999e-05,5.44774055756828e-05,5.25522559302536e-05,6.96490758103402e-05,2.86279346615105e-05,"v_2298",352,2.49121845494631e-05,68103.5301459943
"345370",0.00026984961269335,0.000250234511812398,0.000310895694938485,0.000228880888833716,0.000109687215581809,0.000226842231472453,0.000292888403925963,0.000183821421153035,0.00016494503686138,0.000258505223680686,7.95220407264179e-05,"v_2846",352,2.10106103582309e-05,15419.6901690368
"274493",0.000233817443799608,0.000184243463564526,0.00020874425231584,0.00017158606398877,9.6656323765285e-05,0.000169642789484787,0.000189084279861511,0.000162157891450424,0.000150752091829122,0.000214751317081882,6.91841754319836e-05,"v_5051",352,2.17414936406131e-05,21158.4372937114
"416273",8.10723800109193e-05,6.86484058954365e-05,7.63915136134563e-05,5.55043615685413e-05,2.60617836330481e-05,5.3043926971468e-05,7.09502935524707e-05,5.51145682139949e-05,4.94835110584139e-05,6.11661755513885e-05,3.33992571050955e-05,"v_5284",352,2.5017512258581e-05,54627.5655013158
"225194",0.000189168886692145,0.000181586105916961,0.000188313963791311,0.000158157589415736,5.97143780330033e-05,0.000139087532012743,0.00018628820917964,0.000140494361747814,0.000129270877726244,0.000180373247611394,4.53275632140582e-05,"v_2832",351,2.23129615993931e-05,27913.9462442811
"1716143",0.000216584667372166,0.000194430001213527,0.000224289037062764,0.0001832240752854,7.4136918490127e-05,0.000159131780914404,0.000213899407163114,0.000129662596896508,0.000137709926123803,0.000195999642825252,6.91841754319836e-05,"v_2858",351,2.1997360316762e-05,28985.518496944
"2057743",9.32136543120715e-05,7.041997766048e-05,6.61763693511918e-05,5.99805197595527e-05,2.92246214525927e-05,5.35328110910207e-05,7.51443995752769e-05,5.5751730852307e-05,4.25788350967748e-05,6.47379230288419e-05,3.49896979196239e-05,"v_3723",351,2.48706725029845e-05,58605.8255308171
"446660",9.67385403995028e-05,8.63641235458717e-05,8.92714781180507e-05,7.10217099640475e-05,3.0869297118756e-05,6.37993776016274e-05,8.45811381265907e-05,6.08490319588036e-05,4.98671041673939e-05,7.90249129386552e-05,1.82900693670761e-05,"v_3813",351,2.44122744916144e-05,29660.035601523
