"","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"349967",1.48476646479467e-05,6.60781307818364e-06,1.05131835321493e-05,1.02475945353247e-05,6.38933156494571e-06,7.16185310561824e-06,1.07829257761797e-05,7.99446072698961e-06,6.13748974367925e-06,7.08881973351416e-06,5.59809630275883e-06,"v_1988",66,2.86623291008627e-05,131724.735855534
"86170",1.95719215813843e-05,6.60781307818364e-06,1.33804154045537e-05,8.85594589472507e-06,8.74329582571518e-06,1.19364218426971e-05,1.70729658122845e-05,1.42123746257593e-05,1.03570139424587e-05,1.31998712279229e-05,8.18183305787829e-06,"v_4481",154,2.86352442586335e-05,210337.2583779
"265883",1.28229831050449e-05,6.60781307818364e-06,9.23885825552516e-06,8.6029188691615e-06,7.06189278230841e-06,1.16380112966296e-05,1.66236772382771e-05,1.02151442622645e-05,5.37030352571934e-06,9.04435621172496e-06,7.32058747283847e-06,"v_2700",127,2.85967571277417e-05,272847.742157827
"2489010",1.28229831050449e-05,4.4052087187891e-06,1.14689274896174e-05,8.09686481803435e-06,6.72561217362706e-06,8.95231638202279e-06,8.98577148014976e-06,9.77100755520952e-06,6.13748974367925e-06,8.55547209217226e-06,5.59809630275883e-06,"v_1794",100,2.85469597487868e-05,172196.420026014
"2624044",2.02468154290182e-05,1.32156261563673e-05,1.21060901279295e-05,7.46429725412542e-06,1.07609794778033e-05,1.46221167573039e-05,1.9319408682322e-05,1.64330581610342e-05,8.82264150653892e-06,1.3933197407252e-05,6.88996468031856e-06,"v_2981",205,2.85241599634891e-05,140887.8032429
"42422",8.77362001924122e-06,2.20260435939455e-06,7.64595165974496e-06,6.57870266465291e-06,4.37164791285759e-06,9.25072692809022e-06,1.16815029241947e-05,5.77377719171472e-06,5.7538966346993e-06,5.8666094346324e-06,3.87560513267919e-06,"v_4518",89,2.85233463589948e-05,442534.039997869
"67824",1.45102177241297e-05,4.4052087187891e-06,1.43361593620218e-05,9.36199994585222e-06,1.04246988691219e-05,1.37268851191016e-05,2.0217985830337e-05,1.55447847469242e-05,8.43904839755897e-06,1.14887768094885e-05,1.03349470204778e-05,"v_1819",144,2.85143997718848e-05,180237.201225015
"241421",1.78846869622994e-05,4.4052087187891e-06,1.5610484638646e-05,7.97035130525256e-06,1.27786631298914e-05,1.46221167573039e-05,1.88701201083145e-05,1.28799645045944e-05,7.67186217959906e-06,1.12443347497121e-05,6.88996468031856e-06,"v_4611",154,2.8508709410725e-05,99797.3465287833
"2562661",1.113574848596e-05,6.60781307818364e-06,8.60169561721308e-06,5.44008104961683e-06,8.07073460835247e-06,9.84754802022507e-06,1.30293686462171e-05,8.43859743404459e-06,4.60311730775944e-06,8.31103003239591e-06,6.02871909527874e-06,"v_5664",133,2.8499772001824e-05,283010.910656257
"47715",1.51851115717637e-05,1.32156261563673e-05,9.23885825552516e-06,8.6029188691615e-06,5.716770347583e-06,1.34284745730342e-05,1.52758115162546e-05,1.51006480398693e-05,6.5210828526592e-06,1.44220815268047e-05,4.3062279251991e-06,"v_4137",136,2.84916519459798e-05,111572.534189921
"187327",1.34978769526788e-05,4.4052087187891e-06,8.60169561721308e-06,5.6931080751804e-06,9.75213765175924e-06,1.07427796584274e-05,1.25800800722097e-05,9.77100755520952e-06,7.28826907061911e-06,7.33326179329051e-06,2.58373675511946e-06,"v_4545",150,2.84827252271497e-05,250850.770545143
"714995",9.44851386687516e-06,4.4052087187891e-06,8.60169561721308e-06,7.21127022856184e-06,6.72561217362706e-06,9.84754802022507e-06,1.21307914982022e-05,8.88273414109957e-06,6.90467596163915e-06,8.06658797261956e-06,3.87560513267919e-06,"v_526",125,2.84746148808337e-05,102492.67742573
"111769",1.99093685052012e-05,1.10130217969727e-05,1.36989967237097e-05,1.44225404571237e-05,1.1433540695166e-05,1.31300640269668e-05,1.70729658122845e-05,1.90978784033641e-05,9.97342083347878e-06,1.22221029888175e-05,9.04307864291811e-06,"v_2713",102,2.84616479294151e-05,121877.644816134
"161154",2.69957539053576e-05,1.10130217969727e-05,1.24246714470856e-05,4.93402699848968e-06,1.21061019125287e-05,1.55173483955062e-05,2.78558915884642e-05,1.82096049892541e-05,1.22749794873585e-05,1.14887768094885e-05,7.75121026535838e-06,"v_4494",195,2.84535495803101e-05,224066.136698257
