"","cuu6M2TOMPOOB051315.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1297617",9.86968104480757e-05,6.96659870362598e-05,8.42900251184275e-05,8.66148763282436e-05,8.14660790764074e-05,9.43673855131384e-05,4.84572959066801e-05,8.14222668232772e-05,4.98671041673939e-05,6.89403819384981e-05,4.13397880819113e-05,"v_4324",274,2.50162605693701e-05,80340.4151845359
"745377",9.20386922829277e-05,6.59993561396145e-05,8.26042246160589e-05,7.72390391999286e-05,6.74407834112384e-05,9.19208236665015e-05,5.72677133442582e-05,7.68607952925614e-05,5.10178834943338e-05,6.45492748086575e-05,4.3062279251991e-05,"v_5319",265,2.50206420296745e-05,71552.9810524704
"44260",0.000153136717798403,9.72879397909874e-05,0.000126013587552049,0.000147781051879632,0.00011130713368315,0.000129667777871757,9.03067787351765e-05,0.000111756052502537,9.55146841360083e-05,0.000102312796125287,7.53589886909842e-05,"v_4485",264,2.35949223727054e-05,43530.7046834463
"641491",0.000219717899449883,0.000147398562045139,0.000154250745966722,0.000175908563264577,0.000152786199586522,0.000189783297531978,0.000110130217969727,0.00015007241336055,0.000127736505290324,0.000143150092432805,0.000105071961374858,"v_2859",262,2.25438477839398e-05,56101.2639231691
"2619321",9.39969623315007e-05,6.25771673027457e-05,7.62824727321769e-05,7.67925707652469e-05,6.44566779505641e-05,7.79404702571476e-05,5.94703177036528e-05,6.84220729607371e-05,3.52905660261557e-05,6.41101640956734e-05,4.17704108744313e-05,"v_4680",261,2.51762336354481e-05,85005.2734156135
"486698",0.000215801359352737,0.000130287617860795,0.000200610259781857,0.000161621573354764,0.000148608451941578,0.000169511785088415,0.000132156261563673,0.000156002326350481,0.000102802953206627,0.000130854992469251,9.60288827319399e-05,"v_3408",260,2.25591048547194e-05,61888.0409218108
"63561",0.000153136717798403,0.000117576630752424,0.000119270385542575,0.000137512277881954,0.000128913355901128,0.000147842237303917,7.70911525788092e-05,0.000126580834977364,8.70756357384493e-05,0.000110655899671984,7.27752519358648e-05,"v_2849",256,2.35687855004832e-05,45024.33045805
"446660",9.67385403995028e-05,6.37993776016274e-05,8.51329253696118e-05,7.90249129386552e-05,7.10217099640475e-05,8.45811381265907e-05,5.28625046254692e-05,7.48081331037393e-05,4.98671041673939e-05,6.23537212437372e-05,4.90909983472697e-05,"v_3813",256,2.49950009998e-05,58539.59436217
"216816",0.000145303637604111,0.000105354527763607,0.000119270385542575,0.000125457630145549,9.25072692809022e-05,0.000124075636508015,8.36989656569928e-05,0.00012407202563547,8.170533221273e-05,9.74825782824624e-05,7.27752519358648e-05,"v_3758",252,2.36055048037202e-05,31933.5151070257
"74426",0.000147261907652684,0.00010046568656808,0.000133178239687115,0.000122332351102777,0.00012294514497978,0.0001363084457412,8.81041743757819e-05,0.000120878995563969,8.78428219564092e-05,9.61652461435102e-05,8.35408217488625e-05,"v_3828",250,2.35665637593383e-05,40046.3595636497
