"","iYASM2TOMPOOA050195.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","X0n7bM2TOMPOOA100365.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","nG3jM2TOMPOOA051345.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"2734268",1.34786572202246e-06,2.05266218882211e-06,8.6124558503982e-07,8.85785882521762e-07,1.339405304045e-06,0,2.25641951351595e-06,1.26435037677641e-06,0,1.68723461908485e-06,0,"v_5723",49,2.48539828507518e-05,611990.742526772
"688269",2.24644287003744e-06,3.87725080110844e-06,8.6124558503982e-07,1.77157176504352e-06,2.23234217340834e-06,7.95220407264179e-07,3.94873414865292e-06,1.26435037677641e-06,1.59684590995865e-06,2.36212846671879e-06,0,"v_5176",71,2.69454623841345e-05,493095.964731559
"526224",3.14502001805241e-06,1.14036788267895e-06,8.6124558503982e-07,8.85785882521762e-07,1.339405304045e-06,2.38566122179254e-06,1.41026219594747e-06,2.52870075355282e-06,0,3.03702231435273e-06,0,"v_5152",19,2.55440890977828e-05,402487.136609703
"1390185",4.49288574007488e-07,1.59651503575053e-06,4.3062279251991e-07,1.32867882378264e-06,4.46468434681668e-07,0,2.25641951351595e-06,4.21450125592137e-07,0,1.34978769526788e-06,2.20260435939455e-06,"v_2419",24,2.35078398645948e-05,402372.591628801
"2598455",6.29004003610483e-06,3.87725080110844e-06,2.15311396259955e-06,3.10025058882617e-06,3.57174747745334e-06,1.59044081452836e-06,6.20515366216887e-06,4.21450125592137e-06,1.59684590995865e-06,5.73659770488849e-06,0,"v_5368",118,2.85836787194512e-05,379684.485319086
"1848580",2.24644287003744e-06,9.12294306143162e-07,8.6124558503982e-07,4.42892941260881e-07,8.92936869363336e-07,0,1.12820975675798e-06,1.68580050236855e-06,0,1.01234077145091e-06,0,"v_2134",39,2.38697665536831e-05,369256.965491553
"515256",4.49288574007488e-07,1.59651503575053e-06,0,8.85785882521762e-07,4.46468434681668e-07,0,1.69231463513696e-06,0,0,6.7489384763394e-07,0,"v_310",16,2.190052780272e-05,356056.629642351
"572546",2.69573144404493e-06,2.5088093418937e-06,4.3062279251991e-07,2.2144647063044e-06,2.67881060809001e-06,1.59044081452836e-06,2.53847195270545e-06,1.68580050236855e-06,1.59684590995865e-06,5.06170385725455e-06,0,"v_5437",92,2.71083520832769e-05,299255.43323867
"1340",2.24644287003744e-06,2.96495649496528e-06,1.72249117007964e-06,1.32867882378264e-06,1.339405304045e-06,0,3.10257683108444e-06,2.10725062796069e-06,0,2.36212846671879e-06,0,"v_4235",38,2.58886271261035e-05,289064.256005171
"1138822",2.69573144404493e-06,9.12294306143162e-07,1.29186837755973e-06,2.65735764756528e-06,2.23234217340834e-06,7.95220407264179e-07,1.97436707432646e-06,1.68580050236855e-06,7.98422954979325e-07,2.36212846671879e-06,0,"v_4175",54,2.61458415039088e-05,284540.222036805
"82983",7.18861718411981e-06,5.70183941339476e-06,3.87560513267919e-06,7.08628706017409e-06,5.80408965086168e-06,2.38566122179254e-06,5.64104878378988e-06,4.63595138151351e-06,5.58896068485527e-06,8.43617309542425e-06,2.20260435939455e-06,"v_2135",139,2.93737516155563e-05,284363.677739627
"134534",3.5943085920599e-06,1.14036788267895e-06,1.29186837755973e-06,3.54314353008705e-06,2.23234217340834e-06,3.18088162905672e-06,5.92310122297938e-06,3.3716010047371e-06,1.59684590995865e-06,4.38681000962061e-06,0,"v_1576",46,2.77192593413904e-05,284216.362274129
"1109711",8.98577148014976e-07,9.12294306143162e-07,4.3062279251991e-07,1.77157176504352e-06,1.78587373872667e-06,0,1.41026219594747e-06,4.21450125592137e-07,0,6.7489384763394e-07,0,"v_5564",37,2.29705517526531e-05,280591.977332604
"2593333",1.34786572202246e-06,1.14036788267895e-06,0,0,8.92936869363336e-07,0,8.46157317568482e-07,4.21450125592137e-07,0,1.68723461908485e-06,0,"v_5877",30,2.25296264587933e-05,278950.511227703
