"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","wQqUM2TOMPOOA080335.extra.kraken2.report","X1qGgM2TOMPOOM080340.extra.kraken2.report","aFJgM2TOMPOOM090325.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"1697053",1.49487792770432e-05,6.60781307818364e-06,9.12294306143162e-06,1.66629353085036e-05,1.26585725963385e-05,8.6124558503982e-06,1.17657566887062e-05,4.77132244358508e-06,"v_1538",222,3.22507820814655e-05,72705.6223777631
"2608887",1.55128841554222e-05,8.81041743757819e-06,8.66679590836004e-06,1.32448972965028e-05,1.03570139424587e-05,9.47370143543802e-06,1.31574053293058e-05,6.36176325811343e-06,"v_4220",154,3.22237618019528e-05,34943.5722889807
"1936021",2.31283000135385e-05,8.81041743757819e-06,1.32282674390758e-05,2.13627375750046e-05,1.45765381412382e-05,1.11961926055177e-05,1.05006215608883e-05,5.56654285084926e-06,"v_5209",262,3.22196088539485e-05,128347.916123335
"208224",1.26923597635272e-05,6.60781307818364e-06,7.75450160221688e-06,1.19631330420026e-05,1.11242001604186e-05,6.45934188779865e-06,9.23548643307043e-06,3.9761020363209e-06,"v_1748",225,3.22081937644937e-05,101499.665305555
"2042057",2.03077756216436e-05,8.81041743757819e-06,1.09475316737179e-05,1.79446995630038e-05,1.18913863783785e-05,9.47370143543802e-06,1.7205837738323e-05,9.54264488717015e-06,"v_2112",181,3.22040448280304e-05,72952.7774534711
"1176255",1.46667268378537e-05,6.60781307818364e-06,1.34563410156116e-05,1.4099406799503e-05,1.07406070514387e-05,6.88996468031856e-06,1.07536485864519e-05,6.36176325811343e-06,"v_4017",237,3.21947136280223e-05,61620.4936923281
"2528037",2.03077756216436e-05,4.4052087187891e-06,9.35101663796741e-06,2.47807755870053e-05,1.11242001604186e-05,5.16747351023892e-06,1.34104323548694e-05,4.77132244358508e-06,"v_1277",190,3.21626141772803e-05,110498.074252174
"408139",1.88975134256961e-05,8.81041743757819e-06,1.55090032044338e-05,1.58084258055034e-05,1.07406070514387e-05,6.45934188779865e-06,8.85594589472507e-06,2.38566122179254e-06,"v_5135",265,3.21574428401453e-05,86607.7526753363
"2766701",2.11539329392121e-05,4.4052087187891e-06,9.35101663796741e-06,1.62356805570035e-05,1.03570139424587e-05,6.88996468031856e-06,9.74154048419758e-06,6.36176325811343e-06,"v_5091",197,3.21409057307235e-05,82162.5470882628
"1908198",1.83334085473171e-05,1.76208348751564e-05,1.18598259798611e-05,1.83719543145039e-05,1.03570139424587e-05,9.04307864291811e-06,1.1892270201488e-05,4.77132244358508e-06,"v_2647",196,3.21357413715534e-05,64240.1136454672
"241421",1.38205695202852e-05,4.4052087187891e-06,1.20878995563969e-05,1.4099406799503e-05,7.67186217959906e-06,6.88996468031856e-06,7.97035130525256e-06,3.9761020363209e-06,"v_4611",245,3.21285140562249e-05,129155.138256271
"745277",2.31283000135385e-05,8.81041743757819e-06,1.09475316737179e-05,1.92264638175041e-05,1.80288761220578e-05,1.07655698129977e-05,1.40429999187783e-05,6.36176325811343e-06,"v_1997",237,3.21089134343694e-05,77636.9957854932
"34062",2.67949817230019e-05,1.10130217969727e-05,1.4140561745219e-05,2.39262660840051e-05,1.53437243591981e-05,1.29186837755973e-05,1.32839188420876e-05,8.74742447990597e-06,"v_1613",274,3.21027287319422e-05,115301.49351362
"1758730",1.43846743986642e-05,1.10130217969727e-05,1.18598259798611e-05,1.4099406799503e-05,9.58982772449883e-06,7.75121026535838e-06,1.07536485864519e-05,7.95220407264179e-06,"v_1360",221,3.20975766329642e-05,64916.2358726091
"139438",2.25641951351595e-05,4.4052087187891e-06,1.45967088982906e-05,2.17899923265047e-05,1.22749794873585e-05,1.20574381905575e-05,8.09686481803435e-06,3.9761020363209e-06,"v_5245",269,3.20872773945131e-05,104138.314585209
"577",2.3410352452728e-05,1.32156261563673e-05,1.75616653932559e-05,2.52080303385054e-05,1.38093519232783e-05,9.90432422795793e-06,1.46755674826873e-05,7.95220407264179e-06,"v_1872",270,3.20841889117043e-05,119189.877046285
"568766",1.29744122027167e-05,6.60781307818364e-06,1.25440467094685e-05,1.4099406799503e-05,9.20623461551887e-06,5.59809630275883e-06,6.32567563908934e-06,5.56654285084926e-06,"v_2105",265,3.20738982615947e-05,120154.421738605
"674",1.41026219594747e-05,6.60781307818364e-06,9.5790902145032e-06,1.19631330420026e-05,9.97342083347878e-06,8.18183305787829e-06,1.94830809683952e-05,5.56654285084926e-06,"v_2610",154,3.20646423189149e-05,28932.9978442271
"265883",1.49487792770432e-05,6.60781307818364e-06,7.75450160221688e-06,9.39960453300201e-06,5.37030352571934e-06,7.32058747283847e-06,8.6029188691615e-06,4.77132244358508e-06,"v_2700",184,3.20584746577758e-05,104763.504786861
"760011",1.60769890338012e-05,1.10130217969727e-05,1.23159731329327e-05,1.53811710540033e-05,1.22749794873585e-05,6.02871909527874e-06,6.45218915187112e-06,5.56654285084926e-06,"v_5112",266,3.20512820512821e-05,58823.520199666
"575",2.36924048919175e-05,1.32156261563673e-05,1.98424011586138e-05,2.05082280720044e-05,1.87960623400177e-05,1.07655698129977e-05,1.26513512781787e-05,6.36176325811343e-06,"v_1871",303,3.20482004935423e-05,130906.186915038
"2709396",1.32564646419062e-05,1.10130217969727e-05,1.23159731329327e-05,1.70901900600037e-05,8.05545528857901e-06,7.75121026535838e-06,1.06271350736701e-05,5.56654285084926e-06,"v_1245",259,3.20451195282958e-05,68032.1665884495
