"","SRR11092499","SRR11092502","SRR11092506","SRR11092509","SRR11092512","t.0n7bM2TOMPOOA100365","t.1qGgM2TOMPOOM080340","t.9JUZM2TOMPOOB100355","t.a50wM2TOMPOOB051350","t.abKIM2TOMPOOA051320","t.aFJgM2TOMPOOM090325","t.AYtCM2TOMPOOA100360","t.cSObM2TOMPOOM080315","t.cuu6M2TOMPOOB051315","t.dSz8M2TOMPOOA051340","t.DYZgM2TOMPOOB100370","t.FvY2M2TOMPOOB051329","t.IGpcM2TOMPOOB051290","t.iYASM2TOMPOOA050195","t.nG3jM2TOMPOOA051345","t.Nm8MM2TOMPOOA051300","t.OeS0M2TOMPOOA051355","t.s9OmM2TOMPOOB051285","t.TECcM2TOMPOOA051310","t.vcXtM2TOMPOOB050180","t.wQqUM2TOMPOOA080335","t.XR8LM2TOMPOOB051125","nodos","degrees","closeness","betweenness"
"172827",2.88686102939691e-05,2.5227128762034e-05,2.94411305394127e-05,3.42085008124519e-05,2.66626636147048e-05,6.98917914255761e-05,3.54534659023536e-05,3.89924988180399e-05,5.22669366915155e-05,6.86585196089362e-05,1.78949857165478e-05,6.28817645509717e-05,5.25429538647845e-05,6.79581727316281e-05,5.95375006017706e-05,7.82092563137681e-05,8.48754884096136e-05,6.65991926890427e-05,7.38120236145516e-05,4.32387126172226e-05,6.95938313603592e-05,5.55377947874968e-05,6.99821868219669e-05,6.8519572055742e-05,5.28661926331394e-05,3.41561162218781e-05,6.47395560477486e-05,"v_6693",578,1.75048575979834e-05,29533.8566309262
"2789857",3.71683357534852e-05,3.72253973195868e-05,2.97611428278846e-05,3.84095447718758e-05,4.27333101769926e-05,7.81386104728417e-05,3.03099578957945e-05,6.49874980300665e-05,6.70654067186313e-05,7.24378876608042e-05,2.76558870164829e-05,7.17476008062e-05,4.53148226452903e-05,8.17753945733284e-05,5.62815435376113e-05,8.5347402723358e-05,0.000100148068919898,5.94193540720083e-05,9.16857871804072e-05,4.65647674339321e-05,8.66640164110133e-05,7.04767585752728e-05,8.10863714468546e-05,7.6755097543211e-05,6.93327116500189e-05,5.21829553389805e-05,8.14465382536191e-05,"v_5457",567,1.74097738470377e-05,24919.6761407138
"261284",3.78900510108344e-05,3.96865806134438e-05,3.16812165587159e-05,4.5011185279542e-05,4.01766164057195e-05,7.99941447584764e-05,3.3616498757154e-05,5.36146858748048e-05,5.88790190440566e-05,7.7477045063295e-05,2.3859980955397e-05,7.15834186533254e-05,5.30989639585917e-05,9.07988863883164e-05,6.25608893042043e-05,8.34852775730302e-05,8.96325216833088e-05,6.80846765408429e-05,8.24179097758895e-05,4.87821373117384e-05,7.25482864652801e-05,6.83677283934691e-05,8.0828134595113e-05,7.74139395822085e-05,6.93327116500189e-05,5.18666950035927e-05,7.75681316701135e-05,"v_5511",563,1.74076524039968e-05,25225.6932896493
"29542",2.74251797792706e-05,2.98418474380159e-05,3.04011674048283e-05,2.64065620306646e-05,3.39675029611992e-05,7.48398828539354e-05,2.51664498892355e-05,4.54912486210465e-05,5.88790190440566e-05,7.27528349984599e-05,2.87404316053646e-05,5.27024710727465e-05,4.78168680674229e-05,7.86735692619263e-05,5.74443853462396e-05,8.19335066144237e-05,9.46399251293037e-05,6.51137088372425e-05,9.43337521531265e-05,4.60104249644805e-05,7.5502741570201e-05,5.02652193329876e-05,7.38557395980905e-05,8.33435179331862e-05,6.65160702392369e-05,3.98488022588578e-05,6.23528443040528e-05,"v_3539",559,1.75112947851364e-05,29106.0255967317
"2796139",3.21163289520406e-05,3.10724390849444e-05,3.36012902895471e-05,2.94073077159674e-05,3.4332744928524e-05,8.12311676155663e-05,3.30654086135941e-05,5.68640607763082e-05,5.7304713722023e-05,7.18079929854929e-05,2.0606347188752e-05,5.99264857992289e-05,4.97629033957482e-05,6.65482521355362e-05,6.4188867836284e-05,7.44850060131125e-05,8.61273392711123e-05,6.70943539729761e-05,8.47348791270189e-05,6.43037264563824e-05,7.81289238856862e-05,6.55556881510642e-05,7.56633975602815e-05,7.54374134652159e-05,7.17160236129883e-05,4.07975832650211e-05,6.11594884322049e-05,"v_7687",558,1.75134415664022e-05,42924.0980415373
"184917",4.72723493563743e-05,4.61471867598184e-05,3.93615114820409e-05,4.71117072592539e-05,4.49247619809409e-05,9.81371466624608e-05,3.94029452645329e-05,6.01134356778115e-05,6.48613792677843e-05,8.220125512813e-05,2.3859980955397e-05,8.47179908832934e-05,6.08831052718931e-05,0.0001074359494222,6.3491162751107e-05,9.06234239826202e-05,9.56414058185027e-05,6.56088701211759e-05,9.13547915588173e-05,5.48799044757057e-05,0.000101108019146182,6.81919758783188e-05,8.96081875543266e-05,8.46612020111812e-05,6.69493996870495e-05,5.1550434668205e-05,7.96565044458473e-05,"v_3565",557,1.73710632827835e-05,25259.9747986621
"218208",3.78900510108344e-05,3.23030307318728e-05,3.26412534241315e-05,3.42085008124519e-05,3.21412931245756e-05,7.64892466633886e-05,2.52582982464955e-05,3.89924988180399e-05,4.65994375321945e-05,5.2596205388497e-05,1.95218025998703e-05,6.23892180923479e-05,4.53148226452903e-05,7.35978551159956e-05,4.72113774303103e-05,6.70365054118012e-05,8.06191954805179e-05,4.62975800477732e-05,8.40728878838391e-05,4.32387126172226e-05,8.76488347793203e-05,5.88770925753526e-05,6.55921603423601e-05,7.21432032702283e-05,5.50328398722025e-05,4.36439262835109e-05,6.47395560477486e-05,"v_3586",556,1.77003681676579e-05,291189.157043936
"446660",2.95903255513183e-05,3.38412702905335e-05,2.68810322316377e-05,2.94073077159674e-05,3.4332744928524e-05,6.30881657115819e-05,2.2410999171436e-05,3.89924988180399e-05,4.47102711457542e-05,6.14147308428558e-05,1.24722627721394e-05,5.38517461428687e-05,3.61406560974708e-05,6.96500774469383e-05,4.44205570896023e-05,5.6484462893277e-05,7.38592008284248e-05,5.24870960969407e-05,6.4213150588444e-05,4.65647674339321e-05,6.59828306765669e-05,4.58714064542299e-05,6.24933181214612e-05,5.83075204512804e-05,5.15662042897015e-05,3.60536782342047e-05,6.02644715283189e-05,"v_5286",554,1.76594204178219e-05,89081.5176796041
"33871",1.91254543197545e-05,2.79959599676231e-05,1.92007373083126e-05,2.61064874621343e-05,2.33754859087823e-05,5.5047517140498e-05,1.55223723769372e-05,4.54912486210465e-05,4.21913826305005e-05,5.66905207780207e-05,1.13877181832577e-05,5.33591996842449e-05,3.58626510505672e-05,6.42923791817892e-05,4.3955420366151e-05,6.11397757690965e-05,6.81006868655307e-05,5.32298380228408e-05,6.71921111827533e-05,4.15756852088679e-05,6.20435572033391e-05,3.93685633936686e-05,5.81032916418544e-05,5.53427312757916e-05,4.85328981550132e-05,2.68821285079596e-05,5.39993532011175e-05,"v_5312",553,1.74191750278707e-05,22902.0574872862
"1197717",2.52600340072229e-05,2.36888892033734e-05,1.98407618852564e-05,2.55063383250738e-05,2.48364537780812e-05,6.26758247592186e-05,1.98392451681564e-05,4.71159360717982e-05,4.59697154033811e-05,5.88951521416104e-05,1.84372580109886e-05,5.23741067669973e-05,4.58708327390975e-05,6.40103950625709e-05,4.13971683871686e-05,6.08294215773752e-05,6.91021675547297e-05,4.45645155540063e-05,6.71921111827533e-05,3.54779180449006e-05,5.77760109406755e-05,4.02473259694201e-05,5.81032916418544e-05,5.50133102562928e-05,5.11328748418889e-05,3.85837609173068e-05,4.86292517778019e-05,"v_7838",552,1.74194784608149e-05,22516.8807747311
