"","X0n7bM2TOMPOOA100365.extra.kraken2.report","X9JUZM2TOMPOOB100355.extra.kraken2.report","DYZgM2TOMPOOB100370.extra.kraken2.report","AYtCM2TOMPOOA100360.extra.kraken2.report","XR8LM2TOMPOOB051125.extra.kraken2.report","abKIM2TOMPOOA051320.extra.kraken2.report","cuu6M2TOMPOOB051315.extra.kraken2.report","iYASM2TOMPOOA050195.extra.kraken2.report","TECcM2TOMPOOA051310.extra.kraken2.report","FvY2M2TOMPOOB051329.extra.kraken2.report","s9OmM2TOMPOOB051285.extra.kraken2.report","Nm8MM2TOMPOOA051300.extra.kraken2.report","a50wM2TOMPOOB051350.extra.kraken2.report","OeS0M2TOMPOOA051355.extra.kraken2.report","cSObM2TOMPOOM080315.extra.kraken2.report","vcXtM2TOMPOOB050180.extra.kraken2.report","IGpcM2TOMPOOB051290.extra.kraken2.report","dSz8M2TOMPOOA051340.extra.kraken2.report","nodos","degrees","closeness","betweenness"
"53501",8.20772598041428e-05,3.96468784691019e-05,7.30605625065156e-05,5.40534376389823e-05,4.84667644430958e-05,5.5804510598871e-05,5.56148693794712e-05,7.3683326137228e-05,5.22368068577552e-05,6.91766193824789e-05,6.1164046165923e-05,5.86260453312571e-05,6.14754998177691e-05,4.59551072379538e-05,6.17584905457724e-05,6.89328361415755e-05,5.11146525195656e-05,6.59463330653003e-05,"v_689",23,6.11209583766274e-05,372348.096582368
"292691",5.16155963716774e-05,3.96468784691019e-05,4.69980226650101e-05,3.53514043630475e-05,2.69728080378968e-05,3.32169705945661e-05,3.28989368160252e-05,4.62767231227712e-05,2.94669166889901e-05,4.5555334715291e-05,3.98440072166584e-05,3.95281669278931e-05,3.99590748815499e-05,3.32441201295836e-05,4.29624282057547e-05,4.058383426517e-05,2.38759232163761e-05,4.90615231500301e-05,"v_4937",10,5.09346508429685e-05,291095.351455647
"1874317",4.48463378311296e-05,2.422864795334e-05,5.1270570180011e-05,3.58075515161191e-05,2.78157082890811e-05,2.87880411819573e-05,3.01573587480231e-05,5.07696088628461e-05,3.70568800785784e-05,3.77940554675007e-05,3.87954807109569e-05,4.35253972913879e-05,2.81030856309801e-05,2.63997424558458e-05,3.37561935902359e-05,4.44631713640465e-05,3.22829384334099e-05,4.39642220435335e-05,"v_2325",40,6.36456211812627e-05,203049.192564318
"2590016",0.000107179926892008,6.60781307818364e-05,0.000110231725887024,7.45800595272035e-05,8.26042246160589e-05,7.7949157661915e-05,8.30306500594922e-05,9.88434862816473e-05,8.30431288507903e-05,9.92093956021892e-05,8.87752441493969e-05,8.74949312898307e-05,7.99181497630998e-05,6.81993346776017e-05,7.82529942319104e-05,9.7281838017981e-05,8.54152746050636e-05,9.5574395746812e-05,"v_272",82,6.64805212072863e-05,196572.188764541
"76831",2.36924048919175e-05,2.20260435939455e-05,2.8198813599006e-05,2.50880934189369e-05,2.02296060284226e-05,2.30304329455658e-05,1.8016084446871e-05,2.51601601444193e-05,1.96446111259934e-05,2.39587315910049e-05,2.65626714777723e-05,2.1318561938639e-05,2.0199092797267e-05,1.44220815268047e-05,3.75921246800354e-05,2.05903276786524e-05,1.91679946948371e-05,4.20527341285973e-05,"v_4948",8,4.34103142906755e-05,149122.163522835
"143222",1.41026219594747e-05,1.98234392345509e-05,1.53811710540033e-05,1.11756052502537e-05,8.42900251184275e-06,8.85785882521762e-06,1.01830042525792e-05,1.25800800722097e-05,8.03643182427002e-06,1.38353238764958e-05,1.363084457412e-05,6.2179138987697e-06,9.22132497266536e-06,1.02665665106067e-05,1.68780967951179e-05,1.10411902044948e-05,9.07957643439653e-06,1.49733220003339e-05,"v_4952",7,3.45280022097921e-05,143333.943676749
"1294262",4.23078658784241e-06,0,4.27254751500091e-06,4.56147153071581e-06,2.10725062796069e-06,4.42892941260881e-06,7.83308019429172e-06,5.39146288808985e-06,3.57174747745334e-06,4.38681000962061e-06,5.24263252850769e-06,3.55309365643983e-06,2.19555356492032e-06,3.66663089664525e-06,1.91796554489977e-06,1.49205273033713e-06,4.03536730417623e-06,1.91148791493624e-06,"v_5508",19,4.05005872585152e-05,128657.278318882
"1219035",0.000155410893993411,9.69145918133601e-05,0.000163638569824535,0.000112212199655609,0.000116741684789022,0.000132867882378264,9.63468863897882e-05,0.000145569497978426,0.000126797035449594,0.000145439624165114,0.000140153042928772,0.000135017558944713,0.000137002542451028,0.000116843304573095,0.000138093519232783,0.000175465401087647,0.000134512243472541,0.000177449794769914,"v_237",45,5.81057524694945e-05,127218.696468561
"1597",7.33336341892685e-06,4.4052087187891e-06,5.98156652100128e-06,4.33339795418002e-06,5.05740150710565e-06,6.20050117765233e-06,9.00804222343548e-06,7.18861718411981e-06,6.69702652022502e-06,8.09872617160728e-06,7.68919437514461e-06,5.77377719171472e-06,3.95199641685658e-06,5.13328325530335e-06,5.7538966346993e-06,4.77456873707882e-06,5.716770347583e-06,4.14155714902852e-06,"v_4139",22,4.63649851632047e-05,121640.742266794
"1471399",2.36924048919175e-05,1.10130217969727e-05,2.60625398415056e-05,2.00704747351496e-05,1.43293042701327e-05,1.55012529441308e-05,1.37078903400105e-05,2.92037573104867e-05,2.09840164300384e-05,2.63208600577237e-05,2.37666007959015e-05,2.0430288524529e-05,2.37119785011395e-05,2.41997639178587e-05,2.07140278849175e-05,2.80505913303381e-05,1.88317140861558e-05,2.4212180255859e-05,"v_5036",11,5.49269471602768e-05,120683.933863651
